Source Name	Sample Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[Host Organism]	Term Source REF	Term Accession Number	Characteristics[Host Strain]	Characteristics[Sample Location]	Factor Value[Organism Part]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Characteristics[Seed Source]	Protocol REF	Parameter Value[Growth Time]	Unit	Term Source REF	Term Accession Number	Parameter Value[Mean Growth Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Growth Medium]	Parameter Value[Quantity of growth medium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Hardware]	Parameter Value[container]	Parameter Value[light source]	Term Source REF	Term Accession Number	Parameter Value[Light Cycle]	Unit	Term Source REF	Term Accession Number	Parameter Value[Light Intensity]	Unit	Term Source REF	Term Accession Number	Parameter Value[growth environment]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Preservation Method]	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Age of sample at harvest]	Unit	Term Source REF	Term Accession Number	Parameter Value[Developmental stage at time of sample collection]
VEG03D_MM_P2Wick_S10_L001	VEG03D_MM_P2Wick_S10_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Brassica rapa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3711	japonica	wick	wick	OSD	https://osdr.nasa.gov/	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_MM_Plant_Flt1A_14_S11_L001	VEG03D_MM_Plant_Flt1A_14_S11_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Brassica rapa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3711	japonica	leaf	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_MM_Plant_Flt2A_14_S12_L001	VEG03D_MM_Plant_Flt2A_14_S12_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Brassica rapa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3711	japonica	leaf	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_MM_Plant_Flt1B_02_S13_L001	VEG03D_MM_Plant_Flt1B_02_S13_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Brassica rapa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3711	japonica	leaf	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_MM_Plant_Flt2B_02_S14_L001	VEG03D_MM_Plant_Flt2B_02_S14_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Brassica rapa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3711	japonica	leaf	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_MM_P2SoilR1_S6_L001	VEG03D_MM_P2SoilR1_S6_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Brassica rapa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3711	japonica	media	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_MM_P2SoilR2_S7_L001	VEG03D_MM_P2SoilR2_S7_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Brassica rapa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3711	japonica	media	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_MM_P2SoilR3_S8_L001	VEG03D_MM_P2SoilR3_S8_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Brassica rapa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3711	japonica	media	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_MM_P2Root_S9_L001	VEG03D_MM_P2Root_S9_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Brassica rapa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3711	japonica	root	root	PO	http://purl.obolibrary.org/obo/PO_0009005	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03D_OL_Plant_Flt1C_03_S15_L001	VEG03D_OL_Plant_Flt1C_03_S15_L001	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Outredgeous	leaf	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnny's Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and  time-release fertilizer (Nutricote Florikan ESA, 18-6-8, type 100)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80.0	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59.0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
