Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Host Organism]	Term Source REF	Term Accession Number	Characteristics[Host Strain]	Factor Value[Organism Part]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Characteristics[Seed Source]	Protocol REF	Parameter Value[Growth Time]	Unit	Term Source REF	Term Accession Number	Parameter Value[Mean Growth Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Growth Medium]	Parameter Value[Quantity of growth medium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Hardware]	Parameter Value[container]	Parameter Value[light source]	Term Source REF	Term Accession Number	Parameter Value[Light Cycle]	Unit	Term Source REF	Term Accession Number	Parameter Value[Light Intensity]	Unit	Term Source REF	Term Accession Number	Parameter Value[growth environment]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Preservation Method]	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Age of sample at harvest]	Unit	Term Source REF	Term Accession Number	Parameter Value[Developmental stage at time of sample collection]
VEG03E_MM_096_SN01_Root_P_S23_L001	VEG03E_MM_096_SN01_Root_P_S23_L001	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Brassica rapa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3711	japonica	root	PO	http://purl.obolibrary.org/obo/PO_0009005	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnnys Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and 100-day time-release fertilizer (Nutricote Florikan ESA)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03E_MM_096_SN01_Soil_1_P_S24_L001	VEG03E_MM_096_SN01_Soil_1_P_S24_L001	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Brassica rapa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3711	japonica	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnnys Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and 100-day time-release fertilizer (Nutricote Florikan ESA)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03E_MM_096_SN01_Soil_2_P_S25_L001	VEG03E_MM_096_SN01_Soil_2_P_S25_L001	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Brassica rapa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3711	japonica	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnnys Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and 100-day time-release fertilizer (Nutricote Florikan ESA)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03E_MM_096_SN01_Soil_3_P_S26_L001	VEG03E_MM_096_SN01_Soil_3_P_S26_L001	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Brassica rapa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3711	japonica	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnnys Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and 100-day time-release fertilizer (Nutricote Florikan ESA)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03E_MM_096_SN01_Wick_P_S22_L001	VEG03E_MM_096_SN01_Wick_P_S22_L001	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Brassica rapa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3711	japonica	Wick	OSD	https://osdr.nasa.gov/	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnnys Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and 100-day time-release fertilizer (Nutricote Florikan ESA)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03E_MM_GMT_096_1_Plant_S8_L001	VEG03E_MM_GMT_096_1_Plant_S8_L001	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Brassica rapa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3711	japonica	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnnys Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and 100-day time-release fertilizer (Nutricote Florikan ESA)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03E_MM_096_SN08_Root_P_S28_L001	VEG03E_MM_096_SN08_Root_P_S28_L001	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Brassica rapa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3711	japonica	root	PO	http://purl.obolibrary.org/obo/PO_0009005	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnnys Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and 100-day time-release fertilizer (Nutricote Florikan ESA)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03E_MM_096_SN08_Soil_1_P_S29_L001	VEG03E_MM_096_SN08_Soil_1_P_S29_L001	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Brassica rapa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3711	japonica	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnnys Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and 100-day time-release fertilizer (Nutricote Florikan ESA)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03E_MM_096_SN08_Soil_2_P_S30_L001	VEG03E_MM_096_SN08_Soil_2_P_S30_L001	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Brassica rapa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3711	japonica	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnnys Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and 100-day time-release fertilizer (Nutricote Florikan ESA)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03E_MM_096_SN08_Soil_3_P_S31_L001	VEG03E_MM_096_SN08_Soil_3_P_S31_L001	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Brassica rapa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3711	japonica	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Johnnys Select Seeds, Fairfield, ME, USA	growth protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and 100-day time-release fertilizer (Nutricote Florikan ESA)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
