Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Host Organism]	Term Source REF	Term Accession Number	Characteristics[Host strain]	Characteristics[Seed Source]	Characteristics[organism part]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Growth Time]	Unit	Term Source REF	Term Accession Number	Parameter Value[Mean Growth Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Growth Medium]	Parameter Value[Quantity of Growth Medium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Hardware]	Parameter Value[container]	Parameter Value[light source]	Term Source REF	Term Accession Number	Parameter Value[Light Cycle]	Unit	Term Source REF	Term Accession Number	Parameter Value[Light Intensity]	Unit	Term Source REF	Term Accession Number	Parameter Value[growth environment]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Preservation Method]	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Age at sample harvest]	Unit	Term Source REF	Term Accession Number	Parameter Value[Developmental stage at time of sample collection]
VEG03F_OL_099_SN04_Root_P_S38_L001	VEG03F_OL_099_SN04_Root_P_S38_L001	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Outredgeous	Johnny's Select Seeds, Fairfield, ME, USA	root	PO	http://purl.obolibrary.org/obo/PO_0009005	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Growth Protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and 100-day time-release fertilizer (Nutricote Florikan ESA)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03F_OL_099_SN04_Soil_1_P_S39_L001	VEG03F_OL_099_SN04_Soil_1_P_S39_L001	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Outredgeous	Johnny's Select Seeds, Fairfield, ME, USA	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Growth Protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and 100-day time-release fertilizer (Nutricote Florikan ESA)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03F_OL_099_SN04_Soil_2_P_S40_L001	VEG03F_OL_099_SN04_Soil_2_P_S40_L001	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Outredgeous	Johnny's Select Seeds, Fairfield, ME, USA	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Growth Protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and 100-day time-release fertilizer (Nutricote Florikan ESA)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03F_OL_099_SN04_Soil_3_P_S41_L001	VEG03F_OL_099_SN04_Soil_3_P_S41_L001	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Outredgeous	Johnny's Select Seeds, Fairfield, ME, USA	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Growth Protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and 100-day time-release fertilizer (Nutricote Florikan ESA)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03F_OL_099_SN04_Wick_P_S37_L001	VEG03F_OL_099_SN04_Wick_P_S37_L001	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Outredgeous	Johnny's Select Seeds, Fairfield, ME, USA	wick	OSD	https://osdr.nasa.gov/	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Growth Protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and 100-day time-release fertilizer (Nutricote Florikan ESA)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03F_OL_099_SN09_Root_P_S43_L001	VEG03F_OL_099_SN09_Root_P_S43_L001	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Outredgeous	Johnny's Select Seeds, Fairfield, ME, USA	root	PO	http://purl.obolibrary.org/obo/PO_0009005	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Growth Protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and 100-day time-release fertilizer (Nutricote Florikan ESA)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03F_OL_099_SN09_Soil_1_P_S44_L001	VEG03F_OL_099_SN09_Soil_1_P_S44_L001	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Outredgeous	Johnny's Select Seeds, Fairfield, ME, USA	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Growth Protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and 100-day time-release fertilizer (Nutricote Florikan ESA)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03F_OL_099_SN09_Soil_2_P_S45_L001	VEG03F_OL_099_SN09_Soil_2_P_S45_L001	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Outredgeous	Johnny's Select Seeds, Fairfield, ME, USA	media	EFO	http://www.ebi.ac.uk/efo/EFO_0000579	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Growth Protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and 100-day time-release fertilizer (Nutricote Florikan ESA)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03F_OL_099_SN09_Wick_P_S42_L001	VEG03F_OL_099_SN09_Wick_P_S42_L001	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Outredgeous	Johnny's Select Seeds, Fairfield, ME, USA	wick	OSD	https://osdr.nasa.gov/	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Growth Protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and 100-day time-release fertilizer (Nutricote Florikan ESA)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
VEG03F_OL_GMT_099_9_Plant_S14_L001	VEG03F_OL_GMT_099_9_Plant_S14_L001	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Outredgeous	Johnny's Select Seeds, Fairfield, ME, USA	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Growth Protocol	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Calcined clay (arcillite) and 100-day time-release fertilizer (Nutricote Florikan ESA)	250	milliliter	UO	http://purl.obolibrary.org/obo/UO_0000098	Vegetable Production System (Veggie)	Veggie pillow	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	200-300	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	Frozen	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	59	day	UO	http://purl.obolibrary.org/obo/UO_0000033	leaf production stage
