Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[cell type]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Factor Value[Sex]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Factor Value[Treatment]	Term Source REF	Term Accession Number	Characteristics[Study Subject]	Protocol REF	Protocol REF	Parameter Value[Treatment duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[duration]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number
1	367402	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Vitamin D	MESH	http://purl.bioontology.org/ontology/MESH/D014807	M1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
2	367403	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Vitamin D	MESH	http://purl.bioontology.org/ontology/MESH/D014807	M1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
3	367404	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Vitamin D	MESH	http://purl.bioontology.org/ontology/MESH/D014807	M1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
4	367405	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Vitamin D	MESH	http://purl.bioontology.org/ontology/MESH/D014807	F1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
5	367406	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Vitamin D	MESH	http://purl.bioontology.org/ontology/MESH/D014807	F1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
6	367407	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Vitamin D	MESH	http://purl.bioontology.org/ontology/MESH/D014807	F1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
7	367408	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Vitamin D	MESH	http://purl.bioontology.org/ontology/MESH/D014807	M2	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
8	367409	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Vitamin D	MESH	http://purl.bioontology.org/ontology/MESH/D014807	M2	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
9	367410	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	Vitamin D	MESH	http://purl.bioontology.org/ontology/MESH/D014807	M2	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
10	367411	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	kidney proximal tubule epithelial cell	OSD	https://osdr.nasa.gov/	primary cell	EFO	http://www.ebi.ac.uk/efo/EFO_0002660	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Ground Control	GLDS	https://genelab-data.ndc.nasa.gov/	2% human serum	GLDS	https://genelab-data.ndc.nasa.gov/	M1	growth protocol	treatment protocol	2	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	day	UO	http://purl.obolibrary.org/obo/UO_0000033	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348
