Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Animal Source]	Characteristics[Genotype]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Factor Value[Sex]	Term Source REF	Term Accession Number	Factor Value[Ionizing Radiation]	Term Source REF	Term Accession Number	Characteristics[Age at irradiation]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[light cycle]	Parameter Value[Housing Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[particle charge]	Term Source REF	Term Accession Number	Parameter Value[ionizing radiation energy]	Parameter Value[linear energy transfer]	Parameter Value[absorbed radiation dose rate]	Parameter Value[exposure duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose]	Unit	Term Source REF	Term Accession Number	Parameter Value[ionizing radiation categorized by source]	Term Source REF	Term Accession Number	Parameter Value[ionizing radiation device or source]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Euthanasia Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number
1	1	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	adrenal gland	OBI	http://purl.obolibrary.org/obo/UBERON_0002369	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	mixed radiation field	RBO	http://purl.obolibrary.org/obo/RBO_00000015	26	week	UO	http://purl.obolibrary.org/obo/UO_0000034	irradiation protocol	12 h light/dark cycle	23±2	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	NSRL Simplified Galactic Cosmic Ray Simulation	RBO	http://purl.obolibrary.org/obo/RBO_00000054	(protons at 250 and 1000 MeV, 28Si at 600 MeV/n, 4 He at 250 MeV/n, 16O at 350 MeV/n, and 56Fe at 600 MeV/n	see protocol	see protocol	36.3	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	50	centigray	RBO	http://purl.obolibrary.org/obo/UO_0010055	particle accelerator	RBO	http://purl.obolibrary.org/obo/RBO_00000121	NASA Space Radiation Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000030	sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
2	2	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	adrenal gland	OBI	http://purl.obolibrary.org/obo/UBERON_0002369	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	mixed radiation field	RBO	http://purl.obolibrary.org/obo/RBO_00000015	26	week	UO	http://purl.obolibrary.org/obo/UO_0000034	irradiation protocol	12 h light/dark cycle	23±2	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	NSRL Simplified Galactic Cosmic Ray Simulation	RBO	http://purl.obolibrary.org/obo/RBO_00000054	(protons at 250 and 1000 MeV, 28Si at 600 MeV/n, 4 He at 250 MeV/n, 16O at 350 MeV/n, and 56Fe at 600 MeV/n	see protocol	see protocol	42.5	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	50	centigray	RBO	http://purl.obolibrary.org/obo/UO_0010055	particle accelerator	RBO	http://purl.obolibrary.org/obo/RBO_00000121	NASA Space Radiation Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000030	sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
3	3	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	adrenal gland	OBI	http://purl.obolibrary.org/obo/UBERON_0002369	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	mixed radiation field	RBO	http://purl.obolibrary.org/obo/RBO_00000015	26	week	UO	http://purl.obolibrary.org/obo/UO_0000034	irradiation protocol	12 h light/dark cycle	23±2	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	NSRL Simplified Galactic Cosmic Ray Simulation	RBO	http://purl.obolibrary.org/obo/RBO_00000054	(protons at 250 and 1000 MeV, 28Si at 600 MeV/n, 4 He at 250 MeV/n, 16O at 350 MeV/n, and 56Fe at 600 MeV/n	see protocol	see protocol	42.5	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	50	centigray	RBO	http://purl.obolibrary.org/obo/UO_0010055	particle accelerator	RBO	http://purl.obolibrary.org/obo/RBO_00000121	NASA Space Radiation Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000030	sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
4	4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	adrenal gland	OBI	http://purl.obolibrary.org/obo/UBERON_0002369	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	mixed radiation field	RBO	http://purl.obolibrary.org/obo/RBO_00000015	26	week	UO	http://purl.obolibrary.org/obo/UO_0000034	irradiation protocol	12 h light/dark cycle	23±2	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	NSRL Simplified Galactic Cosmic Ray Simulation	RBO	http://purl.obolibrary.org/obo/RBO_00000054	(protons at 250 and 1000 MeV, 28Si at 600 MeV/n, 4 He at 250 MeV/n, 16O at 350 MeV/n, and 56Fe at 600 MeV/n	see protocol	see protocol	37.7	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	50	centigray	RBO	http://purl.obolibrary.org/obo/UO_0010055	particle accelerator	RBO	http://purl.obolibrary.org/obo/RBO_00000121	NASA Space Radiation Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000030	sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
5	5	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	adrenal gland	OBI	http://purl.obolibrary.org/obo/UBERON_0002369	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	sham-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005032	26	week	UO	http://purl.obolibrary.org/obo/UO_0000034	irradiation protocol	12 h light/dark cycle	23±2	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	NSRL Simplified Galactic Cosmic Ray Simulation	RBO	http://purl.obolibrary.org/obo/RBO_00000054	(protons at 250 and 1000 MeV, 28Si at 600 MeV/n, 4 He at 250 MeV/n, 16O at 350 MeV/n, and 56Fe at 600 MeV/n	see protocol	see protocol		Not Applicable	OSD	https://osdr.nasa.gov/	0	centigray	RBO	http://purl.obolibrary.org/obo/UO_0010055	particle accelerator	RBO	http://purl.obolibrary.org/obo/RBO_00000121	NASA Space Radiation Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000030	sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
6	6	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	adrenal gland	OBI	http://purl.obolibrary.org/obo/UBERON_0002369	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	sham-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005032	26	week	UO	http://purl.obolibrary.org/obo/UO_0000034	irradiation protocol	12 h light/dark cycle	23±2	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	NSRL Simplified Galactic Cosmic Ray Simulation	RBO	http://purl.obolibrary.org/obo/RBO_00000054	(protons at 250 and 1000 MeV, 28Si at 600 MeV/n, 4 He at 250 MeV/n, 16O at 350 MeV/n, and 56Fe at 600 MeV/n	see protocol	see protocol		Not Applicable	OSD	https://osdr.nasa.gov/	0	centigray	RBO	http://purl.obolibrary.org/obo/UO_0010055	particle accelerator	RBO	http://purl.obolibrary.org/obo/RBO_00000121	NASA Space Radiation Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000030	sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
7	7	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	adrenal gland	OBI	http://purl.obolibrary.org/obo/UBERON_0002369	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	sham-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005032	26	week	UO	http://purl.obolibrary.org/obo/UO_0000034	irradiation protocol	12 h light/dark cycle	23±2	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	NSRL Simplified Galactic Cosmic Ray Simulation	RBO	http://purl.obolibrary.org/obo/RBO_00000054	(protons at 250 and 1000 MeV, 28Si at 600 MeV/n, 4 He at 250 MeV/n, 16O at 350 MeV/n, and 56Fe at 600 MeV/n	see protocol	see protocol		Not Applicable	OSD	https://osdr.nasa.gov/	0	centigray	RBO	http://purl.obolibrary.org/obo/UO_0010055	particle accelerator	RBO	http://purl.obolibrary.org/obo/RBO_00000121	NASA Space Radiation Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000030	sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
8	8	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	adrenal gland	OBI	http://purl.obolibrary.org/obo/UBERON_0002369	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	sham-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005032	26	week	UO	http://purl.obolibrary.org/obo/UO_0000034	irradiation protocol	12 h light/dark cycle	23±2	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	NSRL Simplified Galactic Cosmic Ray Simulation	RBO	http://purl.obolibrary.org/obo/RBO_00000054	(protons at 250 and 1000 MeV, 28Si at 600 MeV/n, 4 He at 250 MeV/n, 16O at 350 MeV/n, and 56Fe at 600 MeV/n	see protocol	see protocol		Not Applicable	OSD	https://osdr.nasa.gov/	0	centigray	RBO	http://purl.obolibrary.org/obo/UO_0010055	particle accelerator	RBO	http://purl.obolibrary.org/obo/RBO_00000121	NASA Space Radiation Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000030	sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
9	9	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	adrenal gland	OBI	http://purl.obolibrary.org/obo/UBERON_0002369	Male	MESH	http://purl.bioontology.org/ontology/MESH/D005260	sham-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005032	26	week	UO	http://purl.obolibrary.org/obo/UO_0000034	irradiation protocol	12 h light/dark cycle	23±2	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	NSRL Simplified Galactic Cosmic Ray Simulation	RBO	http://purl.obolibrary.org/obo/RBO_00000054	(protons at 250 and 1000 MeV, 28Si at 600 MeV/n, 4 He at 250 MeV/n, 16O at 350 MeV/n, and 56Fe at 600 MeV/n	see protocol	see protocol		Not Applicable	OSD	https://osdr.nasa.gov/	0	centigray	RBO	http://purl.obolibrary.org/obo/UO_0010055	particle accelerator	RBO	http://purl.obolibrary.org/obo/RBO_00000121	NASA Space Radiation Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000030	sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
13	13	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	adrenal gland	OBI	http://purl.obolibrary.org/obo/UBERON_0002369	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	mixed radiation field	RBO	http://purl.obolibrary.org/obo/RBO_00000015	26	week	UO	http://purl.obolibrary.org/obo/UO_0000034	irradiation protocol	12 h light/dark cycle	23±2	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	NSRL Simplified Galactic Cosmic Ray Simulation	RBO	http://purl.obolibrary.org/obo/RBO_00000054	(protons at 250 and 1000 MeV, 28Si at 600 MeV/n, 4 He at 250 MeV/n, 16O at 350 MeV/n, and 56Fe at 600 MeV/n	see protocol	see protocol	37.4	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	50	centigray	RBO	http://purl.obolibrary.org/obo/UO_0010055	particle accelerator	RBO	http://purl.obolibrary.org/obo/RBO_00000121	NASA Space Radiation Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000030	sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
