Sample Name	Protocol REF	Protocol REF	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Base Caller]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]
C001_RBC-pellet_L-44	Nucleic Acid Extraction - whole genome sequencing and clonal hematopoiesis	Library Construction - clonal hematopoiesis	DNA	PAIRED	Nucleic Acid Sequencing - clonal hematopoiesis	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	targetSeq	GLDS-561_targetSeq_InvitaePanel_I4_C001_L-44_R1_raw.fastq.gz,GLDS-561_targetSeq_InvitaePanel_I4_C001_L-44_R2_raw.fastq.gz	GeneLab raw data processing protocol - clonal hematopoiesis	14529071	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-561_GtargetSeq_raw_multiqc_GLtargetSeq_report.zip
C002_RBC-pellet_L-44	Nucleic Acid Extraction - whole genome sequencing and clonal hematopoiesis	Library Construction - clonal hematopoiesis	DNA	PAIRED	Nucleic Acid Sequencing - clonal hematopoiesis	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	targetSeq	GLDS-561_targetSeq_InvitaePanel_I4_C002_L-44_R1_raw.fastq.gz,GLDS-561_targetSeq_InvitaePanel_I4_C002_L-44_R2_raw.fastq.gz	GeneLab raw data processing protocol - clonal hematopoiesis	18449731	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-561_GtargetSeq_raw_multiqc_GLtargetSeq_report.zip
C003_RBC-pellet_L-44	Nucleic Acid Extraction - whole genome sequencing and clonal hematopoiesis	Library Construction - clonal hematopoiesis	DNA	PAIRED	Nucleic Acid Sequencing - clonal hematopoiesis	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	targetSeq	GLDS-561_targetSeq_InvitaePanel_I4_C003_L-44_R1_raw.fastq.gz,GLDS-561_targetSeq_InvitaePanel_I4_C003_L-44_R2_raw.fastq.gz	GeneLab raw data processing protocol - clonal hematopoiesis	24021561	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-561_GtargetSeq_raw_multiqc_GLtargetSeq_report.zip
C004_RBC-pellet_L-44	Nucleic Acid Extraction - whole genome sequencing and clonal hematopoiesis	Library Construction - clonal hematopoiesis	DNA	PAIRED	Nucleic Acid Sequencing - clonal hematopoiesis	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	targetSeq	GLDS-561_targetSeq_InvitaePanel_I4_C004_L-44_R1_raw.fastq.gz,GLDS-561_targetSeq_InvitaePanel_I4_C004_L-44_R2_raw.fastq.gz	GeneLab raw data processing protocol - clonal hematopoiesis	23547484	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-561_GtargetSeq_raw_multiqc_GLtargetSeq_report.zip
C001_RBC-pellet_L-3	Nucleic Acid Extraction - whole genome sequencing and clonal hematopoiesis	Library Construction - clonal hematopoiesis	DNA	PAIRED	Nucleic Acid Sequencing - clonal hematopoiesis	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	targetSeq	GLDS-561_targetSeq_InvitaePanel_I4_C001_L-3_R1_raw.fastq.gz,GLDS-561_targetSeq_InvitaePanel_I4_C001_L-3_R2_raw.fastq.gz	GeneLab raw data processing protocol - clonal hematopoiesis	18949101	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-561_GtargetSeq_raw_multiqc_GLtargetSeq_report.zip
C002_RBC-pellet_L-3	Nucleic Acid Extraction - whole genome sequencing and clonal hematopoiesis	Library Construction - clonal hematopoiesis	DNA	PAIRED	Nucleic Acid Sequencing - clonal hematopoiesis	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	targetSeq	GLDS-561_targetSeq_InvitaePanel_I4_C002_L-3_R1_raw.fastq.gz,GLDS-561_targetSeq_InvitaePanel_I4_C002_L-3_R2_raw.fastq.gz	GeneLab raw data processing protocol - clonal hematopoiesis	17809892	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-561_GtargetSeq_raw_multiqc_GLtargetSeq_report.zip
C003_RBC-pellet_L-3	Nucleic Acid Extraction - whole genome sequencing and clonal hematopoiesis	Library Construction - clonal hematopoiesis	DNA	PAIRED	Nucleic Acid Sequencing - clonal hematopoiesis	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	targetSeq	GLDS-561_targetSeq_InvitaePanel_I4_C003_L-3_R1_raw.fastq.gz,GLDS-561_targetSeq_InvitaePanel_I4_C003_L-3_R2_raw.fastq.gz	GeneLab raw data processing protocol - clonal hematopoiesis	15735657	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-561_GtargetSeq_raw_multiqc_GLtargetSeq_report.zip
C004_RBC-pellet_L-3	Nucleic Acid Extraction - whole genome sequencing and clonal hematopoiesis	Library Construction - clonal hematopoiesis	DNA	PAIRED	Nucleic Acid Sequencing - clonal hematopoiesis	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	targetSeq	GLDS-561_targetSeq_InvitaePanel_I4_C004_L-3_R1_raw.fastq.gz,GLDS-561_targetSeq_InvitaePanel_I4_C004_L-3_R2_raw.fastq.gz	GeneLab raw data processing protocol - clonal hematopoiesis	19850605	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-561_GtargetSeq_raw_multiqc_GLtargetSeq_report.zip
C001_RBC-pellet_R+1	Nucleic Acid Extraction - whole genome sequencing and clonal hematopoiesis	Library Construction - clonal hematopoiesis	DNA	PAIRED	Nucleic Acid Sequencing - clonal hematopoiesis	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	targetSeq	GLDS-561_targetSeq_InvitaePanel_I4_C001_R+1_R1_raw.fastq.gz,GLDS-561_targetSeq_InvitaePanel_I4_C001_R+1_R2_raw.fastq.gz	GeneLab raw data processing protocol - clonal hematopoiesis	15783422	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-561_GtargetSeq_raw_multiqc_GLtargetSeq_report.zip
C002_RBC-pellet_R+1	Nucleic Acid Extraction - whole genome sequencing and clonal hematopoiesis	Library Construction - clonal hematopoiesis	DNA	PAIRED	Nucleic Acid Sequencing - clonal hematopoiesis	Illumina NovaSeq 6000	bcl2fastq	150	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	targetSeq	GLDS-561_targetSeq_InvitaePanel_I4_C002_R+1_R1_raw.fastq.gz,GLDS-561_targetSeq_InvitaePanel_I4_C002_R+1_R2_raw.fastq.gz	GeneLab raw data processing protocol - clonal hematopoiesis	14753277	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-561_GtargetSeq_raw_multiqc_GLtargetSeq_report.zip
