Sample Name	Protocol REF	Protocol REF	Parameter Value[Sample Type]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Nucleus Count]	Parameter Value[Library Selection]	Term Source REF	Term Accession Number	Parameter Value[Library Layout]	Term Source REF	Term Accession Number	Parameter Value[Library QA Instrument]	Term Source REF	Term Accession Number	Parameter Value[Library QA Assay]	Term Source REF	Term Accession Number	Parameter Value[Average Library Size]	Unit	Term Source REF	Term Accession Number	Parameter Value[Library Kit]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Base Caller]	Parameter Value[R1 Read Length]	Unit	Term Source REF	Term Accession Number	Parameter Value[R2 Read Length]	Unit	Term Source REF	Term Accession Number	Parameter Value[R3 Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Processed Data Files]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]
C001_PBMC_L-92	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	11776	DNA	OSD	https://osdr.nasa.gov/	Paired	OSD	https://osdr.nasa.gov/	Agilent TapeStation	OSD	https://osdr.nasa.gov/	High Sensitivity D5000 Screentape	OSD	https://osdr.nasa.gov/	953	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snATAC sequencing	Illumina NovaSeq 6000	bcl2fastq	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snATACseq	GLDS-562_snATAC-Seq_snATAC_I4_C001_L-92_R1_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C001_L-92_R2_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C001_L-92_R3_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snATAC-Seq_PBMC_Chromatin_Accessibility_snATAC-seq_Processed_Data.xlsx			GeneLab raw data processing protocol - snRNA/snATAC sequencing	865912014	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-562_GsnATAC-Seq_raw_multiqc_GLsnATACseq_report.zip
C001_PBMC_L-44	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	16990	DNA	OSD	https://osdr.nasa.gov/	Paired	OSD	https://osdr.nasa.gov/	Agilent TapeStation	OSD	https://osdr.nasa.gov/	High Sensitivity D5000 Screentape	OSD	https://osdr.nasa.gov/	587	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snATAC sequencing	Illumina NovaSeq 6000	bcl2fastq	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snATACseq	GLDS-562_snATAC-Seq_snATAC_I4_C001_L-44_R1_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C001_L-44_R2_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C001_L-44_R3_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snATAC-Seq_PBMC_Chromatin_Accessibility_snATAC-seq_Processed_Data.xlsx			GeneLab raw data processing protocol - snRNA/snATAC sequencing	751357060	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-562_GsnATAC-Seq_raw_multiqc_GLsnATACseq_report.zip
C001_PBMC_L-3	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	1335	DNA	OSD	https://osdr.nasa.gov/	Paired	OSD	https://osdr.nasa.gov/	Agilent TapeStation	OSD	https://osdr.nasa.gov/	High Sensitivity D5000 Screentape	OSD	https://osdr.nasa.gov/	1234	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snATAC sequencing	Illumina NovaSeq 6000	bcl2fastq	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snATACseq	GLDS-562_snATAC-Seq_snATAC_I4_C001_L-3_R1_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C001_L-3_R2_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C001_L-3_R3_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snATAC-Seq_PBMC_Chromatin_Accessibility_snATAC-seq_Processed_Data.xlsx			GeneLab raw data processing protocol - snRNA/snATAC sequencing	244637727	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-562_GsnATAC-Seq_raw_multiqc_GLsnATACseq_report.zip
C001_PBMC_R+1	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	1255	DNA	OSD	https://osdr.nasa.gov/	Paired	OSD	https://osdr.nasa.gov/	Agilent TapeStation	OSD	https://osdr.nasa.gov/	High Sensitivity D5000 Screentape	OSD	https://osdr.nasa.gov/	878	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snATAC sequencing	Illumina NovaSeq 6000	bcl2fastq	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snATACseq	GLDS-562_snATAC-Seq_snATAC_I4_C001_R+1_R1_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C001_R+1_R2_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C001_R+1_R3_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snATAC-Seq_PBMC_Chromatin_Accessibility_snATAC-seq_Processed_Data.xlsx			GeneLab raw data processing protocol - snRNA/snATAC sequencing	276566290	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-562_GsnATAC-Seq_raw_multiqc_GLsnATACseq_report.zip
C001_PBMC_R+45	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	420	DNA	OSD	https://osdr.nasa.gov/	Paired	OSD	https://osdr.nasa.gov/	Agilent TapeStation	OSD	https://osdr.nasa.gov/	High Sensitivity D5000 Screentape	OSD	https://osdr.nasa.gov/	1474	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snATAC sequencing	Illumina NovaSeq 6000	bcl2fastq	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snATACseq	GLDS-562_snATAC-Seq_snATAC_I4_C001_R+45_R1_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C001_R+45_R2_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C001_R+45_R3_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snATAC-Seq_PBMC_Chromatin_Accessibility_snATAC-seq_Processed_Data.xlsx			GeneLab raw data processing protocol - snRNA/snATAC sequencing	193947648	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-562_GsnATAC-Seq_raw_multiqc_GLsnATACseq_report.zip
C001_PBMC_R+82	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	10055	DNA	OSD	https://osdr.nasa.gov/	Paired	OSD	https://osdr.nasa.gov/	Agilent TapeStation	OSD	https://osdr.nasa.gov/	High Sensitivity D5000 Screentape	OSD	https://osdr.nasa.gov/	596	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snATAC sequencing	Illumina NovaSeq 6000	bcl2fastq	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snATACseq	GLDS-562_snATAC-Seq_snATAC_I4_C001_R+82_R1_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C001_R+82_R2_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C001_R+82_R3_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snATAC-Seq_PBMC_Chromatin_Accessibility_snATAC-seq_Processed_Data.xlsx			GeneLab raw data processing protocol - snRNA/snATAC sequencing	259184969	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-562_GsnATAC-Seq_raw_multiqc_GLsnATACseq_report.zip
C002_PBMC_L-92	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	5673	DNA	OSD	https://osdr.nasa.gov/	Paired	OSD	https://osdr.nasa.gov/	Agilent TapeStation	OSD	https://osdr.nasa.gov/	High Sensitivity D5000 Screentape	OSD	https://osdr.nasa.gov/	860	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snATAC sequencing	Illumina NovaSeq 6000	bcl2fastq	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snATACseq	GLDS-562_snATAC-Seq_snATAC_I4_C002_L-92_R1_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C002_L-92_R2_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C002_L-92_R3_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snATAC-Seq_PBMC_Chromatin_Accessibility_snATAC-seq_Processed_Data.xlsx			GeneLab raw data processing protocol - snRNA/snATAC sequencing	2488463281	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-562_GsnATAC-Seq_raw_multiqc_GLsnATACseq_report.zip
C002_PBMC_L-44	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	17699	DNA	OSD	https://osdr.nasa.gov/	Paired	OSD	https://osdr.nasa.gov/	Agilent TapeStation	OSD	https://osdr.nasa.gov/	High Sensitivity D5000 Screentape	OSD	https://osdr.nasa.gov/	582	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snATAC sequencing	Illumina NovaSeq 6000	bcl2fastq	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snATACseq	GLDS-562_snATAC-Seq_snATAC_I4_C002_L-44_R1_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C002_L-44_R2_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C002_L-44_R3_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snATAC-Seq_PBMC_Chromatin_Accessibility_snATAC-seq_Processed_Data.xlsx			GeneLab raw data processing protocol - snRNA/snATAC sequencing	741439861	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-562_GsnATAC-Seq_raw_multiqc_GLsnATACseq_report.zip
C002_PBMC_L-3	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	1340	DNA	OSD	https://osdr.nasa.gov/	Paired	OSD	https://osdr.nasa.gov/	Agilent TapeStation	OSD	https://osdr.nasa.gov/	High Sensitivity D5000 Screentape	OSD	https://osdr.nasa.gov/	1094	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snATAC sequencing	Illumina NovaSeq 6000	bcl2fastq	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snATACseq	GLDS-562_snATAC-Seq_snATAC_I4_C002_L-3_R1_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C002_L-3_R2_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C002_L-3_R3_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snATAC-Seq_PBMC_Chromatin_Accessibility_snATAC-seq_Processed_Data.xlsx			GeneLab raw data processing protocol - snRNA/snATAC sequencing	212508604	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-562_GsnATAC-Seq_raw_multiqc_GLsnATACseq_report.zip
C002_PBMC_R+1	Cell Isolation	Nucleus Isolation - snRNA sequencing and snATAC sequencing	single nuclei	OSD	https://osdr.nasa.gov/	Library Construction - snRNA sequencing and snATAC sequencing	1495	DNA	OSD	https://osdr.nasa.gov/	Paired	OSD	https://osdr.nasa.gov/	Agilent TapeStation	OSD	https://osdr.nasa.gov/	High Sensitivity D5000 Screentape	OSD	https://osdr.nasa.gov/	838	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Chromium Next GEM Single Cell Multiome ATAC and Gene Expression kit	Nucleic Acid Sequencing - snATAC sequencing	Illumina NovaSeq 6000	bcl2fastq	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	24	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	51	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	snATACseq	GLDS-562_snATAC-Seq_snATAC_I4_C002_R+1_R1_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C002_R+1_R2_raw.fastq.gz,GLDS-562_snATAC-Seq_snATAC_I4_C002_R+1_R3_raw.fastq.gz	Data Analysis - snRNA sequencing and snATAC sequencing	GLDS-562_snATAC-Seq_PBMC_Chromatin_Accessibility_snATAC-seq_Processed_Data.xlsx			GeneLab raw data processing protocol - snRNA/snATAC sequencing	270884478	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-562_GsnATAC-Seq_raw_multiqc_GLsnATACseq_report.zip
