Sample Name	Protocol REF	Extract Name	Protocol REF	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]
C001_plasma_L-92_cfDNA_BCT	Nucleic Acid Extraction - cfDNA sequencing	C001_plasma_L-92_cfDNA_BCT	Library Construction - cfDNA sequencing	cfDNA	PAIRED	Nucleic Acid Sequencing - cfDNA sequencing	Element AVITI system	147	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	WGS	GLDS-563_wgs_cfDNA_I4_C001_L-92_R1_raw.fastq.gz,GLDS-563_wgs_cfDNA_I4_C001_L-92_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfDNA sequencing	436464118	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-563_Gwgs_raw_multiqc_GLwgs_report.zip
C001_plasma_L-44_cfDNA_BCT	Nucleic Acid Extraction - cfDNA sequencing	C001_plasma_L-44_cfDNA_BCT	Library Construction - cfDNA sequencing	cfDNA	PAIRED	Nucleic Acid Sequencing - cfDNA sequencing	Element AVITI system	147	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	WGS	GLDS-563_wgs_cfDNA_I4_Pre_C001_L-44_R1_raw.fastq.gz,GLDS-563_wgs_cfDNA_I4_Pre_C001_L-44_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfDNA sequencing	796037905	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-563_Gwgs_raw_multiqc_GLwgs_report.zip
C001_plasma_L-3_cfDNA_BCT	Nucleic Acid Extraction - cfDNA sequencing	C001_plasma_L-3_cfDNA_BCT	Library Construction - cfDNA sequencing	cfDNA	PAIRED	Nucleic Acid Sequencing - cfDNA sequencing	Element AVITI system	147	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	WGS	GLDS-563_wgs_cfDNA_I4_Pre_C001_L-3_R1_raw.fastq.gz,GLDS-563_wgs_cfDNA_I4_Pre_C001_L-3_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfDNA sequencing	542591571	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-563_Gwgs_raw_multiqc_GLwgs_report.zip
C001_plasma_R+1_cfDNA_BCT	Nucleic Acid Extraction - cfDNA sequencing	C001_plasma_R+1_cfDNA_BCT	Library Construction - cfDNA sequencing	cfDNA	PAIRED	Nucleic Acid Sequencing - cfDNA sequencing	Element AVITI system	147	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	WGS	GLDS-563_wgs_cfDNA_I4_Post_C001_R+1_R1_raw.fastq.gz,GLDS-563_wgs_cfDNA_I4_Post_C001_R+1_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfDNA sequencing	382271143	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-563_Gwgs_raw_multiqc_GLwgs_report.zip
C001_plasma_R+45_cfDNA_BCT	Nucleic Acid Extraction - cfDNA sequencing	C001_plasma_R+45_cfDNA_BCT	Library Construction - cfDNA sequencing	cfDNA	PAIRED	Nucleic Acid Sequencing - cfDNA sequencing	Element AVITI system	147	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	WGS	GLDS-563_wgs_cfDNA_I4_Post_C001_R+45_R1_raw.fastq.gz,GLDS-563_wgs_cfDNA_I4_Post_C001_R+45_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfDNA sequencing	756440950	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-563_Gwgs_raw_multiqc_GLwgs_report.zip
C001_plasma_R+82_cfDNA_BCT	Nucleic Acid Extraction - cfDNA sequencing	C001_plasma_R+82_cfDNA_BCT	Library Construction - cfDNA sequencing	cfDNA	PAIRED	Nucleic Acid Sequencing - cfDNA sequencing	Element AVITI system	147	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	WGS	GLDS-563_wgs_cfDNA_I4_C001_R+82_R1_raw.fastq.gz,GLDS-563_wgs_cfDNA_I4_C001_R+82_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfDNA sequencing	410573210	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-563_Gwgs_raw_multiqc_GLwgs_report.zip
C002_plasma_L-92_cfDNA_BCT	Nucleic Acid Extraction - cfDNA sequencing	C002_plasma_L-92_cfDNA_BCT	Library Construction - cfDNA sequencing	cfDNA	PAIRED	Nucleic Acid Sequencing - cfDNA sequencing	Element AVITI system	147	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	WGS	GLDS-563_wgs_cfDNA_I4_C002_L-92_R1_raw.fastq.gz,GLDS-563_wgs_cfDNA_I4_C002_L-92_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfDNA sequencing	386905049	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-563_Gwgs_raw_multiqc_GLwgs_report.zip
C002_plasma_L-44_cfDNA_BCT	Nucleic Acid Extraction - cfDNA sequencing	C002_plasma_L-44_cfDNA_BCT	Library Construction - cfDNA sequencing	cfDNA	PAIRED	Nucleic Acid Sequencing - cfDNA sequencing	Element AVITI system	147	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	WGS	GLDS-563_wgs_cfDNA_I4_Pre_C002_L-44_R1_raw.fastq.gz,GLDS-563_wgs_cfDNA_I4_Pre_C002_L-44_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfDNA sequencing	742745836	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-563_Gwgs_raw_multiqc_GLwgs_report.zip
C002_plasma_L-3_cfDNA_BCT	Nucleic Acid Extraction - cfDNA sequencing	C002_plasma_L-3_cfDNA_BCT	Library Construction - cfDNA sequencing	cfDNA	PAIRED	Nucleic Acid Sequencing - cfDNA sequencing	Element AVITI system	147	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	WGS	GLDS-563_wgs_cfDNA_I4_Pre_C002_L-3_R1_raw.fastq.gz,GLDS-563_wgs_cfDNA_I4_Pre_C002_L-3_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfDNA sequencing	533744069	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-563_Gwgs_raw_multiqc_GLwgs_report.zip
C002_plasma_R+1_cfDNA_BCT	Nucleic Acid Extraction - cfDNA sequencing	C002_plasma_R+1_cfDNA_BCT	Library Construction - cfDNA sequencing	cfDNA	PAIRED	Nucleic Acid Sequencing - cfDNA sequencing	Element AVITI system	147	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	WGS	GLDS-563_wgs_cfDNA_I4_Post_C002_R+1_R1_raw.fastq.gz,GLDS-563_wgs_cfDNA_I4_Post_C002_R+1_R2_raw.fastq.gz	GeneLab raw data processing protocol - cfDNA sequencing	323244906	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-563_Gwgs_raw_multiqc_GLwgs_report.zip
