Sample Name	Protocol REF	Extract Name	Protocol REF	Parameter Value[Instrument]	Parameter Value[Ion Source]	Parameter Value[Detector]	Parameter Value[Chromatography]	Parameter Value[Analyzer]	Parameter Value[Dissociation]	MS Assay Name	Raw Spectral Data File	Protocol REF	Parameter Value[Preprocessed Data Files]	Parameter Value[Processed Data Files]
C001_plasma_L-92_K2EDTA	Extraction - Metabolomics	C001_plasma_L-92_K2EDTA	Mass Spectrometry - Metabolomics	Agilent 6550 iFunnel Quadrupole-Time-of-flight (Q-TOF) Mass spectrometer	Agilent Dual Electrospray Inozation Source	orbitrap, Q-Exactive HF	Agilent Model 1290 Infinity II liquid chromatography system	orbitrap	high energy collision dissociation (HCD)	metabolomics	GLDS-563_metabolomics_Plasma_Metabolomics_I4_C001_L-92_ANP.tar,GLDS-563_metabolomics_Plasma_Metabolomics_I4_C001_L-92_MTBE.tar	Data Transformation - Metabolomics	GLDS-563_metabolomics_metabolomics_ANPPOS-NEG_preprocessed_data.xlsx,GLDS-563_metabolomics_metabolomics_RPPOS-NEG_preprocessed_data.xlsx	GLDS-563_metabolomics_Plasma_Metabolomics_Processed_Data.xlsx
C001_plasma_L-44_K2EDTA	Extraction - Metabolomics	C001_plasma_L-44_K2EDTA	Mass Spectrometry - Metabolomics	Agilent 6550 iFunnel Quadrupole-Time-of-flight (Q-TOF) Mass spectrometer	Agilent Dual Electrospray Inozation Source	orbitrap, Q-Exactive HF	Agilent Model 1290 Infinity II liquid chromatography system	orbitrap	high energy collision dissociation (HCD)	metabolomics	GLDS-563_metabolomics_Plasma_Metabolomics_I4_C001_L-44_ANP.tar,GLDS-563_metabolomics_Plasma_Metabolomics_I4_C001_L-44_MTBE.tar	Data Transformation - Metabolomics	GLDS-563_metabolomics_metabolomics_ANPPOS-NEG_preprocessed_data.xlsx,GLDS-563_metabolomics_metabolomics_RPPOS-NEG_preprocessed_data.xlsx	GLDS-563_metabolomics_Plasma_Metabolomics_Processed_Data.xlsx
C001_plasma_L-3_K2EDTA	Extraction - Metabolomics	C001_plasma_L-3_K2EDTA	Mass Spectrometry - Metabolomics	Agilent 6550 iFunnel Quadrupole-Time-of-flight (Q-TOF) Mass spectrometer	Agilent Dual Electrospray Inozation Source	orbitrap, Q-Exactive HF	Agilent Model 1290 Infinity II liquid chromatography system	orbitrap	high energy collision dissociation (HCD)	metabolomics	GLDS-563_metabolomics_Plasma_Metabolomics_I4_C001_L-3_ANP.tar,GLDS-563_metabolomics_Plasma_Metabolomics_I4_C001_L-3_MTBE.tar	Data Transformation - Metabolomics	GLDS-563_metabolomics_metabolomics_ANPPOS-NEG_preprocessed_data.xlsx,GLDS-563_metabolomics_metabolomics_RPPOS-NEG_preprocessed_data.xlsx	GLDS-563_metabolomics_Plasma_Metabolomics_Processed_Data.xlsx
C001_plasma_R+1_K2EDTA	Extraction - Metabolomics	C001_plasma_R+1_K2EDTA	Mass Spectrometry - Metabolomics	Agilent 6550 iFunnel Quadrupole-Time-of-flight (Q-TOF) Mass spectrometer	Agilent Dual Electrospray Inozation Source	orbitrap, Q-Exactive HF	Agilent Model 1290 Infinity II liquid chromatography system	orbitrap	high energy collision dissociation (HCD)	metabolomics	GLDS-563_metabolomics_Plasma_Metabolomics_I4_C001_R+1_ANP.tar,GLDS-563_metabolomics_Plasma_Metabolomics_I4_C001_R+1_MTBE.tar	Data Transformation - Metabolomics	GLDS-563_metabolomics_metabolomics_ANPPOS-NEG_preprocessed_data.xlsx,GLDS-563_metabolomics_metabolomics_RPPOS-NEG_preprocessed_data.xlsx	GLDS-563_metabolomics_Plasma_Metabolomics_Processed_Data.xlsx
C001_plasma_R+45_K2EDTA	Extraction - Metabolomics	C001_plasma_R+45_K2EDTA	Mass Spectrometry - Metabolomics	Agilent 6550 iFunnel Quadrupole-Time-of-flight (Q-TOF) Mass spectrometer	Agilent Dual Electrospray Inozation Source	orbitrap, Q-Exactive HF	Agilent Model 1290 Infinity II liquid chromatography system	orbitrap	high energy collision dissociation (HCD)	metabolomics	GLDS-563_metabolomics_Plasma_Metabolomics_I4_C001_R+45_ANP.tar,GLDS-563_metabolomics_Plasma_Metabolomics_I4_C001_R+45_MTBE.tar	Data Transformation - Metabolomics	GLDS-563_metabolomics_metabolomics_ANPPOS-NEG_preprocessed_data.xlsx,GLDS-563_metabolomics_metabolomics_RPPOS-NEG_preprocessed_data.xlsx	GLDS-563_metabolomics_Plasma_Metabolomics_Processed_Data.xlsx
C001_plasma_R+82_K2EDTA	Extraction - Metabolomics	C001_plasma_R+82_K2EDTA	Mass Spectrometry - Metabolomics	Agilent 6550 iFunnel Quadrupole-Time-of-flight (Q-TOF) Mass spectrometer	Agilent Dual Electrospray Inozation Source	orbitrap, Q-Exactive HF	Agilent Model 1290 Infinity II liquid chromatography system	orbitrap	high energy collision dissociation (HCD)	metabolomics	GLDS-563_metabolomics_Plasma_Metabolomics_I4_C001_R+82_ANP.tar,GLDS-563_metabolomics_Plasma_Metabolomics_I4_C001_R+82_MTBE.tar	Data Transformation - Metabolomics	GLDS-563_metabolomics_metabolomics_ANPPOS-NEG_preprocessed_data.xlsx,GLDS-563_metabolomics_metabolomics_RPPOS-NEG_preprocessed_data.xlsx	GLDS-563_metabolomics_Plasma_Metabolomics_Processed_Data.xlsx
C002_plasma_L-92_K2EDTA	Extraction - Metabolomics	C002_plasma_L-92_K2EDTA	Mass Spectrometry - Metabolomics	Agilent 6550 iFunnel Quadrupole-Time-of-flight (Q-TOF) Mass spectrometer	Agilent Dual Electrospray Inozation Source	orbitrap, Q-Exactive HF	Agilent Model 1290 Infinity II liquid chromatography system	orbitrap	high energy collision dissociation (HCD)	metabolomics	GLDS-563_metabolomics_Plasma_Metabolomics_I4_C002_L-92_ANP.tar,GLDS-563_metabolomics_Plasma_Metabolomics_I4_C002_L-92_MTBE.tar	Data Transformation - Metabolomics	GLDS-563_metabolomics_metabolomics_ANPPOS-NEG_preprocessed_data.xlsx,GLDS-563_metabolomics_metabolomics_RPPOS-NEG_preprocessed_data.xlsx	GLDS-563_metabolomics_Plasma_Metabolomics_Processed_Data.xlsx
C002_plasma_L-44_K2EDTA	Extraction - Metabolomics	C002_plasma_L-44_K2EDTA	Mass Spectrometry - Metabolomics	Agilent 6550 iFunnel Quadrupole-Time-of-flight (Q-TOF) Mass spectrometer	Agilent Dual Electrospray Inozation Source	orbitrap, Q-Exactive HF	Agilent Model 1290 Infinity II liquid chromatography system	orbitrap	high energy collision dissociation (HCD)	metabolomics	GLDS-563_metabolomics_Plasma_Metabolomics_I4_C002_L-44_ANP.tar,GLDS-563_metabolomics_Plasma_Metabolomics_I4_C002_L-44_MTBE.tar	Data Transformation - Metabolomics	GLDS-563_metabolomics_metabolomics_ANPPOS-NEG_preprocessed_data.xlsx,GLDS-563_metabolomics_metabolomics_RPPOS-NEG_preprocessed_data.xlsx	GLDS-563_metabolomics_Plasma_Metabolomics_Processed_Data.xlsx
C002_plasma_L-3_K2EDTA	Extraction - Metabolomics	C002_plasma_L-3_K2EDTA	Mass Spectrometry - Metabolomics	Agilent 6550 iFunnel Quadrupole-Time-of-flight (Q-TOF) Mass spectrometer	Agilent Dual Electrospray Inozation Source	orbitrap, Q-Exactive HF	Agilent Model 1290 Infinity II liquid chromatography system	orbitrap	high energy collision dissociation (HCD)	metabolomics	GLDS-563_metabolomics_Plasma_Metabolomics_I4_C002_L-3_ANP.tar,GLDS-563_metabolomics_Plasma_Metabolomics_I4_C002_L-3_MTBE.tar	Data Transformation - Metabolomics	GLDS-563_metabolomics_metabolomics_ANPPOS-NEG_preprocessed_data.xlsx,GLDS-563_metabolomics_metabolomics_RPPOS-NEG_preprocessed_data.xlsx	GLDS-563_metabolomics_Plasma_Metabolomics_Processed_Data.xlsx
C002_plasma_R+1_K2EDTA	Extraction - Metabolomics	C002_plasma_R+1_K2EDTA	Mass Spectrometry - Metabolomics	Agilent 6550 iFunnel Quadrupole-Time-of-flight (Q-TOF) Mass spectrometer	Agilent Dual Electrospray Inozation Source	orbitrap, Q-Exactive HF	Agilent Model 1290 Infinity II liquid chromatography system	orbitrap	high energy collision dissociation (HCD)	metabolomics	GLDS-563_metabolomics_Plasma_Metabolomics_I4_C002_R+1_ANP.tar,GLDS-563_metabolomics_Plasma_Metabolomics_I4_C002_R+1_MTBE.tar	Data Transformation - Metabolomics	GLDS-563_metabolomics_metabolomics_ANPPOS-NEG_preprocessed_data.xlsx,GLDS-563_metabolomics_metabolomics_RPPOS-NEG_preprocessed_data.xlsx	GLDS-563_metabolomics_Plasma_Metabolomics_Processed_Data.xlsx
