Sample Name	Protocol REF	Extract Name	Protocol REF	Parameter Value[Instrument]	Parameter Value[Chromatography]	Parameter Value[Ion Source]	Parameter Value[Dissociation]	Parameter Value[Detector]	Parameter Value[Analyzer]	MS Assay Name	Raw Spectral Data File	Protocol REF	Parameter Value[Preprocessed Data Files]	Parameter Value[Processed Data Files]	Parameter Value[Supplemental Materials]
C001_plasma_L-92_K2EDTA	Extraction - Proteomics of blood extracellular vesicles and particles (EVPs)	C001_plasma_L-92_K2EDTA	Mass Spectrometry - Proteomics of blood extracellular vesicles and particles (EVPs)	Q Exactive HF Hybrid Quadrupole-Orbitrap Mass Spectrometer from Thermo-Fisher	LC/MS (C18 reversed phase: 75 um 100um ID, L: 12cm, operated at 300nL/min), EasyLC1200	nano ESI (electrospray ionization)	high energy collision dissociation (HCD)	orbitrap, Q-Exactive HF	orbitrap	proteomics	GLDS-563_proteomics_Plasma_EVP_I4_C001_L-92.raw	Data Transformation - Proteomics of blood extracellular vesicles and particles (EVPs)	GLDS-563_proteomics_EVPs_proteomics_preprocessed_data.txt	GLDS-563_proteomics_EVP_Proteomics_Processed_Data.xlsx	GLDS-563_proteomics_EVPs_sample_metadata.csv
C001_plasma_L-44_K2EDTA	Extraction - Proteomics of blood extracellular vesicles and particles (EVPs)	C001_plasma_L-44_K2EDTA	Mass Spectrometry - Proteomics of blood extracellular vesicles and particles (EVPs)	Q Exactive HF Hybrid Quadrupole-Orbitrap Mass Spectrometer from Thermo-Fisher	LC/MS (C18 reversed phase: 75 um 100um ID, L: 12cm, operated at 300nL/min), EasyLC1200	nano ESI (electrospray ionization)	high energy collision dissociation (HCD)	orbitrap, Q-Exactive HF	orbitrap	proteomics	GLDS-563_proteomics_Plasma_EVP_I4_C001_L-44.raw	Data Transformation - Proteomics of blood extracellular vesicles and particles (EVPs)	GLDS-563_proteomics_EVPs_proteomics_preprocessed_data.txt	GLDS-563_proteomics_EVP_Proteomics_Processed_Data.xlsx	GLDS-563_proteomics_EVPs_sample_metadata.csv
C001_plasma_L-3_K2EDTA	Extraction - Proteomics of blood extracellular vesicles and particles (EVPs)	C001_plasma_L-3_K2EDTA	Mass Spectrometry - Proteomics of blood extracellular vesicles and particles (EVPs)	Q Exactive HF Hybrid Quadrupole-Orbitrap Mass Spectrometer from Thermo-Fisher	LC/MS (C18 reversed phase: 75 um 100um ID, L: 12cm, operated at 300nL/min), EasyLC1200	nano ESI (electrospray ionization)	high energy collision dissociation (HCD)	orbitrap, Q-Exactive HF	orbitrap	proteomics	GLDS-563_proteomics_Plasma_EVP_I4_C001_L-3.raw	Data Transformation - Proteomics of blood extracellular vesicles and particles (EVPs)	GLDS-563_proteomics_EVPs_proteomics_preprocessed_data.txt	GLDS-563_proteomics_EVP_Proteomics_Processed_Data.xlsx	GLDS-563_proteomics_EVPs_sample_metadata.csv
C001_plasma_R+1_K2EDTA	Extraction - Proteomics of blood extracellular vesicles and particles (EVPs)	C001_plasma_R+1_K2EDTA	Mass Spectrometry - Proteomics of blood extracellular vesicles and particles (EVPs)	Q Exactive HF Hybrid Quadrupole-Orbitrap Mass Spectrometer from Thermo-Fisher	LC/MS (C18 reversed phase: 75 um 100um ID, L: 12cm, operated at 300nL/min), EasyLC1200	nano ESI (electrospray ionization)	high energy collision dissociation (HCD)	orbitrap, Q-Exactive HF	orbitrap	proteomics	GLDS-563_proteomics_Plasma_EVP_I4_C001_R+1.raw	Data Transformation - Proteomics of blood extracellular vesicles and particles (EVPs)	GLDS-563_proteomics_EVPs_proteomics_preprocessed_data.txt	GLDS-563_proteomics_EVP_Proteomics_Processed_Data.xlsx	GLDS-563_proteomics_EVPs_sample_metadata.csv
C001_plasma_R+45_K2EDTA	Extraction - Proteomics of blood extracellular vesicles and particles (EVPs)	C001_plasma_R+45_K2EDTA	Mass Spectrometry - Proteomics of blood extracellular vesicles and particles (EVPs)	Q Exactive HF Hybrid Quadrupole-Orbitrap Mass Spectrometer from Thermo-Fisher	LC/MS (C18 reversed phase: 75 um 100um ID, L: 12cm, operated at 300nL/min), EasyLC1200	nano ESI (electrospray ionization)	high energy collision dissociation (HCD)	orbitrap, Q-Exactive HF	orbitrap	proteomics	GLDS-563_proteomics_Plasma_EVP_I4_C001_R+45.raw	Data Transformation - Proteomics of blood extracellular vesicles and particles (EVPs)	GLDS-563_proteomics_EVPs_proteomics_preprocessed_data.txt	GLDS-563_proteomics_EVP_Proteomics_Processed_Data.xlsx	GLDS-563_proteomics_EVPs_sample_metadata.csv
C001_plasma_R+82_K2EDTA	Extraction - Proteomics of blood extracellular vesicles and particles (EVPs)	C001_plasma_R+82_K2EDTA	Mass Spectrometry - Proteomics of blood extracellular vesicles and particles (EVPs)	Q Exactive HF Hybrid Quadrupole-Orbitrap Mass Spectrometer from Thermo-Fisher	LC/MS (C18 reversed phase: 75 um 100um ID, L: 12cm, operated at 300nL/min), EasyLC1200	nano ESI (electrospray ionization)	high energy collision dissociation (HCD)	orbitrap, Q-Exactive HF	orbitrap	proteomics	GLDS-563_proteomics_Plasma_EVP_I4_C001_R+82.raw	Data Transformation - Proteomics of blood extracellular vesicles and particles (EVPs)	GLDS-563_proteomics_EVPs_proteomics_preprocessed_data.txt	GLDS-563_proteomics_EVP_Proteomics_Processed_Data.xlsx	GLDS-563_proteomics_EVPs_sample_metadata.csv
C002_plasma_L-92_K2EDTA	Extraction - Proteomics of blood extracellular vesicles and particles (EVPs)	C002_plasma_L-92_K2EDTA	Mass Spectrometry - Proteomics of blood extracellular vesicles and particles (EVPs)	Q Exactive HF Hybrid Quadrupole-Orbitrap Mass Spectrometer from Thermo-Fisher	LC/MS (C18 reversed phase: 75 um 100um ID, L: 12cm, operated at 300nL/min), EasyLC1200	nano ESI (electrospray ionization)	high energy collision dissociation (HCD)	orbitrap, Q-Exactive HF	orbitrap	proteomics	GLDS-563_proteomics_Plasma_EVP_I4_C002_L-92.raw	Data Transformation - Proteomics of blood extracellular vesicles and particles (EVPs)	GLDS-563_proteomics_EVPs_proteomics_preprocessed_data.txt	GLDS-563_proteomics_EVP_Proteomics_Processed_Data.xlsx	GLDS-563_proteomics_EVPs_sample_metadata.csv
C002_plasma_L-44_K2EDTA	Extraction - Proteomics of blood extracellular vesicles and particles (EVPs)	C002_plasma_L-44_K2EDTA	Mass Spectrometry - Proteomics of blood extracellular vesicles and particles (EVPs)	Q Exactive HF Hybrid Quadrupole-Orbitrap Mass Spectrometer from Thermo-Fisher	LC/MS (C18 reversed phase: 75 um 100um ID, L: 12cm, operated at 300nL/min), EasyLC1200	nano ESI (electrospray ionization)	high energy collision dissociation (HCD)	orbitrap, Q-Exactive HF	orbitrap	proteomics	GLDS-563_proteomics_Plasma_EVP_I4_C002_L-44.raw	Data Transformation - Proteomics of blood extracellular vesicles and particles (EVPs)	GLDS-563_proteomics_EVPs_proteomics_preprocessed_data.txt	GLDS-563_proteomics_EVP_Proteomics_Processed_Data.xlsx	GLDS-563_proteomics_EVPs_sample_metadata.csv
C002_plasma_L-3_K2EDTA	Extraction - Proteomics of blood extracellular vesicles and particles (EVPs)	C002_plasma_L-3_K2EDTA	Mass Spectrometry - Proteomics of blood extracellular vesicles and particles (EVPs)	Q Exactive HF Hybrid Quadrupole-Orbitrap Mass Spectrometer from Thermo-Fisher	LC/MS (C18 reversed phase: 75 um 100um ID, L: 12cm, operated at 300nL/min), EasyLC1200	nano ESI (electrospray ionization)	high energy collision dissociation (HCD)	orbitrap, Q-Exactive HF	orbitrap	proteomics	GLDS-563_proteomics_Plasma_EVP_I4_C002_L-3.raw	Data Transformation - Proteomics of blood extracellular vesicles and particles (EVPs)	GLDS-563_proteomics_EVPs_proteomics_preprocessed_data.txt	GLDS-563_proteomics_EVP_Proteomics_Processed_Data.xlsx	GLDS-563_proteomics_EVPs_sample_metadata.csv
C002_plasma_R+1_K2EDTA	Extraction - Proteomics of blood extracellular vesicles and particles (EVPs)	C002_plasma_R+1_K2EDTA	Mass Spectrometry - Proteomics of blood extracellular vesicles and particles (EVPs)	Q Exactive HF Hybrid Quadrupole-Orbitrap Mass Spectrometer from Thermo-Fisher	LC/MS (C18 reversed phase: 75 um 100um ID, L: 12cm, operated at 300nL/min), EasyLC1200	nano ESI (electrospray ionization)	high energy collision dissociation (HCD)	orbitrap, Q-Exactive HF	orbitrap	proteomics	GLDS-563_proteomics_Plasma_EVP_I4_C002_R+1.raw	Data Transformation - Proteomics of blood extracellular vesicles and particles (EVPs)	GLDS-563_proteomics_EVPs_proteomics_preprocessed_data.txt	GLDS-563_proteomics_EVP_Proteomics_Processed_Data.xlsx	GLDS-563_proteomics_EVPs_sample_metadata.csv
