Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Host Organism]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Factor Value[Time]	Unit	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number
C001	C001_Swab_L-44_DEL	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Swab	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17627	pre-flight			Launch minus 44	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Zymo Research DNA/RNA Shield (cat# R1100)	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C001	C001_Swab_R+1_DEL	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Swab	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17627	post-flight			Return plus 1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Zymo Research DNA/RNA Shield (cat# R1100)	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C002	C002_Swab_L-44_DEL	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Swab	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17627	pre-flight			Launch minus 44	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Zymo Research DNA/RNA Shield (cat# R1100)	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C002	C002_Swab_R+1_DEL	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Swab	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17627	post-flight			Return plus 1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Zymo Research DNA/RNA Shield (cat# R1100)	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C003	C003_Swab_L-44_DEL	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Swab	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17627	pre-flight			Launch minus 44	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Zymo Research DNA/RNA Shield (cat# R1100)	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C003	C003_Swab_R+1_DEL	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Swab	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17627	post-flight			Return plus 1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Zymo Research DNA/RNA Shield (cat# R1100)	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C004	C004_Swab_L-44_DEL	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Swab	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17627	pre-flight			Launch minus 44	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Zymo Research DNA/RNA Shield (cat# R1100)	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
C004	C004_Swab_R+1_DEL	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Swab	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17627	post-flight			Return plus 1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Zymo Research DNA/RNA Shield (cat# R1100)	OSD	https://osdr.nasa.gov/	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
GeoMx No Template Control	NTC_Batch1	Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable			Not Applicable				Treatment protocol	sample collection	Not Applicable			Not Applicable			
C001	C001_SKN_L-44_OE_rep1	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Not Applicable	OSD	https://osdr.nasa.gov/	Skin Biopsy	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51692	pre-flight			Launch minus 44	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	sample collection	Cryopreservation	MESH	http://purl.bioontology.org/ontology/MESH/D015925	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
