Sample Name	Protocol REF	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Analyzer Device Name Brand Version]	Assay Name	Raw Data File	Protocol REF	Parameter Value[Submitted Results File]	Parameter Value[Transformed Files]
C001_serum_L-3	Comprehensive Metabolic Panel	Room Temperature				Beckman Coulter AU5800	Comprehensive Metabolic Panel	Not Available	ALSDA Transformed Data	LSDS-8_Comprehensive_Metabolic_Panel_CMP.upload_SUBMITTED.csv	LSDS-8_Comprehensive_Metabolic_Panel_CMP_TRANSFORMED.csv
C001_serum_L-44	Comprehensive Metabolic Panel	Room Temperature				Beckman Coulter AU5800	Comprehensive Metabolic Panel	Not Available	ALSDA Transformed Data	LSDS-8_Comprehensive_Metabolic_Panel_CMP.upload_SUBMITTED.csv	LSDS-8_Comprehensive_Metabolic_Panel_CMP_TRANSFORMED.csv
C001_serum_L-92	Comprehensive Metabolic Panel	Room Temperature				Beckman Coulter AU5800	Comprehensive Metabolic Panel	Not Available	ALSDA Transformed Data	LSDS-8_Comprehensive_Metabolic_Panel_CMP.upload_SUBMITTED.csv	LSDS-8_Comprehensive_Metabolic_Panel_CMP_TRANSFORMED.csv
C001_serum_R+1	Comprehensive Metabolic Panel	Room Temperature				Beckman Coulter AU5800	Comprehensive Metabolic Panel	Not Available	ALSDA Transformed Data	LSDS-8_Comprehensive_Metabolic_Panel_CMP.upload_SUBMITTED.csv	LSDS-8_Comprehensive_Metabolic_Panel_CMP_TRANSFORMED.csv
C001_serum_R+194	Comprehensive Metabolic Panel	Room Temperature				Beckman Coulter AU5800	Comprehensive Metabolic Panel	Not Available	ALSDA Transformed Data	LSDS-8_Comprehensive_Metabolic_Panel_CMP.upload_SUBMITTED.csv	LSDS-8_Comprehensive_Metabolic_Panel_CMP_TRANSFORMED.csv
C001_serum_R+45	Comprehensive Metabolic Panel	Room Temperature				Beckman Coulter AU5800	Comprehensive Metabolic Panel	Not Available	ALSDA Transformed Data	LSDS-8_Comprehensive_Metabolic_Panel_CMP.upload_SUBMITTED.csv	LSDS-8_Comprehensive_Metabolic_Panel_CMP_TRANSFORMED.csv
C001_serum_R+82	Comprehensive Metabolic Panel	Room Temperature				Beckman Coulter AU5800	Comprehensive Metabolic Panel	Not Available	ALSDA Transformed Data	LSDS-8_Comprehensive_Metabolic_Panel_CMP.upload_SUBMITTED.csv	LSDS-8_Comprehensive_Metabolic_Panel_CMP_TRANSFORMED.csv
C002_serum_L-3	Comprehensive Metabolic Panel	Room Temperature				Beckman Coulter AU5800	Comprehensive Metabolic Panel	Not Available	ALSDA Transformed Data	LSDS-8_Comprehensive_Metabolic_Panel_CMP.upload_SUBMITTED.csv	LSDS-8_Comprehensive_Metabolic_Panel_CMP_TRANSFORMED.csv
C002_serum_L-44	Comprehensive Metabolic Panel	Room Temperature				Beckman Coulter AU5800	Comprehensive Metabolic Panel	Not Available	ALSDA Transformed Data	LSDS-8_Comprehensive_Metabolic_Panel_CMP.upload_SUBMITTED.csv	LSDS-8_Comprehensive_Metabolic_Panel_CMP_TRANSFORMED.csv
C002_serum_L-92	Comprehensive Metabolic Panel	Room Temperature				Beckman Coulter AU5800	Comprehensive Metabolic Panel	Not Available	ALSDA Transformed Data	LSDS-8_Comprehensive_Metabolic_Panel_CMP.upload_SUBMITTED.csv	LSDS-8_Comprehensive_Metabolic_Panel_CMP_TRANSFORMED.csv
