Sample Name	Protocol REF	Parameter Value[ELISA Assay Type]	Parameter Value[Sample Preparation]	Parameter Value[Name Of Kit]	Parameter Value[Kit Type]	Parameter Value[Company Name]	Parameter Value[Catalog Number]	Parameter Value[Instrument]	Parameter Value[Type Of Assay]	Parameter Value[Type Of Target]	Parameter Value[Primary: Chemical Used For Dilution]	Parameter Value[Primary: Concentration]	Parameter Value[Secondary: Chemical Used For Dilution]	Parameter Value[Secondary: Concentration]	Parameter Value[Incubation Time]	Unit	Term Source REF	Term Accession Number	Parameter Value[Number Of Washes]	Parameter Value[Wash Buffer]	Parameter Value[Washes: Automated, Manual]	Parameter Value[Standard Used]	Assay Name	Parameter Value[Submitted Results File]	Parameter Value[Transformed Files]
R01_roots	ELISA_Assay	glycome profiling	Plant cell wall polysaccharide	TMB Substrate Kit	TMB Peroxidase Substrate Kit	Vector Laboratories	SK-4400	Automated ELISA Workstation	glycome profile	Plant Cell wall glycan mAbs	Sulfuric acid	18M	Blocking Buffer 1.0% (w/v) Milk in 0.1 M TBS	20 μg/mL	1	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	3	0.1% (w/v) Milk in 0.1 M TBS	Automated	Curve of D-glucose 5 μg to 50 μg	Glycome Profiling	GLDS-598_glycomics_Raw-APEX-03-01_SUBMITTED.csv	GLDS-598_glycomics_APEX-03-01_TRANSFORMED.csv
R02_roots	ELISA_Assay	glycome profiling	Plant cell wall polysaccharide	TMB Substrate Kit	TMB Peroxidase Substrate Kit	Vector Laboratories	SK-4400	Automated ELISA Workstation	glycome profile	Plant Cell wall glycan mAbs	Sulfuric acid	18M	Blocking Buffer 1.0% (w/v) Milk in 0.1 M TBS	20 μg/mL	1	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	3	0.1% (w/v) Milk in 0.1 M TBS	Automated	Curve of D-glucose 5 μg to 50 μg	Glycome Profiling	GLDS-598_glycomics_Raw-APEX-03-01_SUBMITTED.csv	GLDS-598_glycomics_APEX-03-01_TRANSFORMED.csv
R03_roots	ELISA_Assay	glycome profiling	Plant cell wall polysaccharide	TMB Substrate Kit	TMB Peroxidase Substrate Kit	Vector Laboratories	SK-4400	Automated ELISA Workstation	glycome profile	Plant Cell wall glycan mAbs	Sulfuric acid	18M	Blocking Buffer 1.0% (w/v) Milk in 0.1 M TBS	20 μg/mL	1	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	3	0.1% (w/v) Milk in 0.1 M TBS	Automated	Curve of D-glucose 5 μg to 50 μg	Glycome Profiling	GLDS-598_glycomics_Raw-APEX-03-01_SUBMITTED.csv	GLDS-598_glycomics_APEX-03-01_TRANSFORMED.csv
R04_roots	ELISA_Assay	glycome profiling	Plant cell wall polysaccharide	TMB Substrate Kit	TMB Peroxidase Substrate Kit	Vector Laboratories	SK-4400	Automated ELISA Workstation	glycome profile	Plant Cell wall glycan mAbs	Sulfuric acid	18M	Blocking Buffer 1.0% (w/v) Milk in 0.1 M TBS	20 μg/mL	1	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	3	0.1% (w/v) Milk in 0.1 M TBS	Automated	Curve of D-glucose 5 μg to 50 μg	Glycome Profiling	GLDS-598_glycomics_Raw-APEX-03-01_SUBMITTED.csv	GLDS-598_glycomics_APEX-03-01_TRANSFORMED.csv
R05_roots	ELISA_Assay	glycome profiling	Plant cell wall polysaccharide	TMB Substrate Kit	TMB Peroxidase Substrate Kit	Vector Laboratories	SK-4400	Automated ELISA Workstation	glycome profile	Plant Cell wall glycan mAbs	Sulfuric acid	18M	Blocking Buffer 1.0% (w/v) Milk in 0.1 M TBS	20 μg/mL	1	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	3	0.1% (w/v) Milk in 0.1 M TBS	Automated	Curve of D-glucose 5 μg to 50 μg	Glycome Profiling	GLDS-598_glycomics_Raw-APEX-03-01_SUBMITTED.csv	GLDS-598_glycomics_APEX-03-01_TRANSFORMED.csv
R06_roots	ELISA_Assay	glycome profiling	Plant cell wall polysaccharide	TMB Substrate Kit	TMB Peroxidase Substrate Kit	Vector Laboratories	SK-4400	Automated ELISA Workstation	glycome profile	Plant Cell wall glycan mAbs	Sulfuric acid	18M	Blocking Buffer 1.0% (w/v) Milk in 0.1 M TBS	20 μg/mL	1	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	3	0.1% (w/v) Milk in 0.1 M TBS	Automated	Curve of D-glucose 5 μg to 50 μg	Glycome Profiling	GLDS-598_glycomics_Raw-APEX-03-01_SUBMITTED.csv	GLDS-598_glycomics_APEX-03-01_TRANSFORMED.csv
R07_roots	ELISA_Assay	glycome profiling	Plant cell wall polysaccharide	TMB Substrate Kit	TMB Peroxidase Substrate Kit	Vector Laboratories	SK-4400	Automated ELISA Workstation	glycome profile	Plant Cell wall glycan mAbs	Sulfuric acid	18M	Blocking Buffer 1.0% (w/v) Milk in 0.1 M TBS	20 μg/mL	1	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	3	0.1% (w/v) Milk in 0.1 M TBS	Automated	Curve of D-glucose 5 μg to 50 μg	Glycome Profiling	GLDS-598_glycomics_Raw-APEX-03-01_SUBMITTED.csv	GLDS-598_glycomics_APEX-03-01_TRANSFORMED.csv
R08_roots	ELISA_Assay	glycome profiling	Plant cell wall polysaccharide	TMB Substrate Kit	TMB Peroxidase Substrate Kit	Vector Laboratories	SK-4400	Automated ELISA Workstation	glycome profile	Plant Cell wall glycan mAbs	Sulfuric acid	18M	Blocking Buffer 1.0% (w/v) Milk in 0.1 M TBS	20 μg/mL	1	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	3	0.1% (w/v) Milk in 0.1 M TBS	Automated	Curve of D-glucose 5 μg to 50 μg	Glycome Profiling	GLDS-598_glycomics_Raw-APEX-03-01_SUBMITTED.csv	GLDS-598_glycomics_APEX-03-01_TRANSFORMED.csv
R09_roots	ELISA_Assay	glycome profiling	Plant cell wall polysaccharide	TMB Substrate Kit	TMB Peroxidase Substrate Kit	Vector Laboratories	SK-4400	Automated ELISA Workstation	glycome profile	Plant Cell wall glycan mAbs	Sulfuric acid	18M	Blocking Buffer 1.0% (w/v) Milk in 0.1 M TBS	20 μg/mL	1	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	3	0.1% (w/v) Milk in 0.1 M TBS	Automated	Curve of D-glucose 5 μg to 50 μg	Glycome Profiling	GLDS-598_glycomics_Raw-APEX-03-01_SUBMITTED.csv	GLDS-598_glycomics_APEX-03-01_TRANSFORMED.csv
R10_roots	ELISA_Assay	glycome profiling	Plant cell wall polysaccharide	TMB Substrate Kit	TMB Peroxidase Substrate Kit	Vector Laboratories	SK-4400	Automated ELISA Workstation	glycome profile	Plant Cell wall glycan mAbs	Sulfuric acid	18M	Blocking Buffer 1.0% (w/v) Milk in 0.1 M TBS	20 μg/mL	1	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	3	0.1% (w/v) Milk in 0.1 M TBS	Automated	Curve of D-glucose 5 μg to 50 μg	Glycome Profiling	GLDS-598_glycomics_Raw-APEX-03-01_SUBMITTED.csv	GLDS-598_glycomics_APEX-03-01_TRANSFORMED.csv
