Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Characteristics[organism part]	Term Source REF	Term Accession Number	Factor Value[Growth Time]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Mean Growth Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Growth Medium]	Term Source REF	Term Accession Number	Parameter Value[Hardware]	Term Source REF	Term Accession Number	Parameter Value[container]	Term Source REF	Term Accession Number	Parameter Value[pH]	Term Source REF	Term Accession Number	Parameter Value[light source]	Term Source REF	Term Accession Number	Parameter Value[Light Intensity]	Unit	Term Source REF	Term Accession Number	Parameter Value[light cycle]	Unit	Term Source REF	Term Accession Number	Parameter Value[light regimen]	Term Source REF	Term Accession Number	Parameter Value[growth environment]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Developmental stage at time of sample collection]
R01	R01_roots	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Plant Roots	MESH	http://purl.bioontology.org/ontology/MESH/D018517	6	day	UO	http://purl.obolibrary.org/obo/UO_0000033	growth protocol	15.687	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	0.5X Murashige-Skoog (MS) salts and 1% (w/v) sucrose			Vegetable Production System (Veggie)	OSD	https://osdr.nasa.gov/	90 X 90 mm square Petri dishes with grid lines	OSD	https://osdr.nasa.gov/	5.7			Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	120-140	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	light 24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	continuous light regimen	EFO	http://purl.obolibrary.org/obo/EO_0007162	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Cotyledons fully open
R02	R02_roots	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Ground Control	OSD	https://osdr.nasa.gov/	Plant Roots	MESH	http://purl.bioontology.org/ontology/MESH/D018517	11	day	UO	http://purl.obolibrary.org/obo/UO_0000033	growth protocol	14.655	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	0.5X Murashige-Skoog (MS) salts and 1% (w/v) sucrose			Vegetable Production System (Veggie)	OSD	https://osdr.nasa.gov/	90 X 90 mm square Petri dishes with grid lines	OSD	https://osdr.nasa.gov/	5.7			Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	120-140	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	light 24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	continuous light regimen	EFO	http://purl.obolibrary.org/obo/EO_0007162	International Space Station Environmental Simulator (ISSES)	OSD	https://osdr.nasa.gov/	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	2 rosette leaves are greater than 1 mm in length
R03	R03_roots	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Plant Roots	MESH	http://purl.bioontology.org/ontology/MESH/D018517	6	day	UO	http://purl.obolibrary.org/obo/UO_0000033	growth protocol	15.687	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	0.5X Murashige-Skoog (MS) salts and 1% (w/v) sucrose			Vegetable Production System (Veggie)	OSD	https://osdr.nasa.gov/	90 X 90 mm square Petri dishes with grid lines	OSD	https://osdr.nasa.gov/	5.7			Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	120-140	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	light 24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	continuous light regimen	EFO	http://purl.obolibrary.org/obo/EO_0007162	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Cotyledons fully open
R04	R04_roots	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Ground Control	OSD	https://osdr.nasa.gov/	Plant Roots	MESH	http://purl.bioontology.org/ontology/MESH/D018517	11	day	UO	http://purl.obolibrary.org/obo/UO_0000033	growth protocol	14.655	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	0.5X Murashige-Skoog (MS) salts and 1% (w/v) sucrose			Vegetable Production System (Veggie)	OSD	https://osdr.nasa.gov/	90 X 90 mm square Petri dishes with grid lines	OSD	https://osdr.nasa.gov/	5.7			Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	120-140	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	light 24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	continuous light regimen	EFO	http://purl.obolibrary.org/obo/EO_0007162	International Space Station Environmental Simulator (ISSES)	OSD	https://osdr.nasa.gov/	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	2 rosette leaves are greater than 1 mm in length
R05	R05_roots	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Plant Roots	MESH	http://purl.bioontology.org/ontology/MESH/D018517	11	day	UO	http://purl.obolibrary.org/obo/UO_0000033	growth protocol	15.687	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	0.5X Murashige-Skoog (MS) salts and 1% (w/v) sucrose			Vegetable Production System (Veggie)	OSD	https://osdr.nasa.gov/	90 X 90 mm square Petri dishes with grid lines	OSD	https://osdr.nasa.gov/	5.7			Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	120-140	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	light 24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	continuous light regimen	EFO	http://purl.obolibrary.org/obo/EO_0007162	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	2 rosette leaves are greater than 1 mm in length
R06	R06_roots	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Plant Roots	MESH	http://purl.bioontology.org/ontology/MESH/D018517	6	day	UO	http://purl.obolibrary.org/obo/UO_0000033	growth protocol	15.687	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	0.5X Murashige-Skoog (MS) salts and 1% (w/v) sucrose			Vegetable Production System (Veggie)	OSD	https://osdr.nasa.gov/	90 X 90 mm square Petri dishes with grid lines	OSD	https://osdr.nasa.gov/	5.7			Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	120-140	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	light 24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	continuous light regimen	EFO	http://purl.obolibrary.org/obo/EO_0007162	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Cotyledons fully open
R07	R07_roots	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Ground Control	OSD	https://osdr.nasa.gov/	Plant Roots	MESH	http://purl.bioontology.org/ontology/MESH/D018517	6	day	UO	http://purl.obolibrary.org/obo/UO_0000033	growth protocol	14.655	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	0.5X Murashige-Skoog (MS) salts and 1% (w/v) sucrose			Vegetable Production System (Veggie)	OSD	https://osdr.nasa.gov/	90 X 90 mm square Petri dishes with grid lines	OSD	https://osdr.nasa.gov/	5.7			Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	120-140	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	light 24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	continuous light regimen	EFO	http://purl.obolibrary.org/obo/EO_0007162	International Space Station Environmental Simulator (ISSES)	OSD	https://osdr.nasa.gov/	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Cotyledons fully open
R08	R08_roots	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Plant Roots	MESH	http://purl.bioontology.org/ontology/MESH/D018517	11	day	UO	http://purl.obolibrary.org/obo/UO_0000033	growth protocol	15.687	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	0.5X Murashige-Skoog (MS) salts and 1% (w/v) sucrose			Vegetable Production System (Veggie)	OSD	https://osdr.nasa.gov/	90 X 90 mm square Petri dishes with grid lines	OSD	https://osdr.nasa.gov/	5.7			Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	120-140	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	light 24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	continuous light regimen	EFO	http://purl.obolibrary.org/obo/EO_0007162	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	2 rosette leaves are greater than 1 mm in length
R09	R09_roots	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Ground Control	OSD	https://osdr.nasa.gov/	Plant Roots	MESH	http://purl.bioontology.org/ontology/MESH/D018517	11	day	UO	http://purl.obolibrary.org/obo/UO_0000033	growth protocol	14.655	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	0.5X Murashige-Skoog (MS) salts and 1% (w/v) sucrose			Vegetable Production System (Veggie)	OSD	https://osdr.nasa.gov/	90 X 90 mm square Petri dishes with grid lines	OSD	https://osdr.nasa.gov/	5.7			Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	120-140	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	light 24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	continuous light regimen	EFO	http://purl.obolibrary.org/obo/EO_0007162	International Space Station Environmental Simulator (ISSES)	OSD	https://osdr.nasa.gov/	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	2 rosette leaves are greater than 1 mm in length
R10	R10_roots	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Ground Control	OSD	https://osdr.nasa.gov/	Plant Roots	MESH	http://purl.bioontology.org/ontology/MESH/D018517	6	day	UO	http://purl.obolibrary.org/obo/UO_0000033	growth protocol	14.655	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	0.5X Murashige-Skoog (MS) salts and 1% (w/v) sucrose			Vegetable Production System (Veggie)	OSD	https://osdr.nasa.gov/	90 X 90 mm square Petri dishes with grid lines	OSD	https://osdr.nasa.gov/	5.7			Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	120-140	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	light 24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	continuous light regimen	EFO	http://purl.obolibrary.org/obo/EO_0007162	International Space Station Environmental Simulator (ISSES)	OSD	https://osdr.nasa.gov/	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Cotyledons fully open
