Sample Name	Protocol REF	Extract Name	Protocol REF	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Protocol REF	Parameter Value[Sequencing Instrument]	Assay Name	Raw Data File	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]
SRS13753904	Nucleic Acid Extraction	SRS13753904	Library Construction	flap-enabled next-generation capture (FENGC)	Single	Nucleic Acid Sequencing	Pacific Biosciences (PacBio) Sequel IIe SMRT platform	TargetCCSEM	GLDS-648_TargetCCSEM-seq_SRS13753904_raw.fastq.gz	GeneLab raw data processing protocol	80336	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-648_GTargetCCSEM-seq_raw_multiqc_GLMethylSeq_report.zip
SRS13753905	Nucleic Acid Extraction	SRS13753905	Library Construction	flap-enabled next-generation capture (FENGC)	Single	Nucleic Acid Sequencing	Pacific Biosciences (PacBio) Sequel IIe SMRT platform	TargetCCSEM	GLDS-648_TargetCCSEM-seq_SRS13753905_raw.fastq.gz	GeneLab raw data processing protocol	89848	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-648_GTargetCCSEM-seq_raw_multiqc_GLMethylSeq_report.zip
SRS13753906	Nucleic Acid Extraction	SRS13753906	Library Construction	flap-enabled next-generation capture (FENGC)	Single	Nucleic Acid Sequencing	Pacific Biosciences (PacBio) Sequel IIe SMRT platform	TargetCCSEM	GLDS-648_TargetCCSEM-seq_SRS13753906_raw.fastq.gz	GeneLab raw data processing protocol	24173	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-648_GTargetCCSEM-seq_raw_multiqc_GLMethylSeq_report.zip
SRS13753907	Nucleic Acid Extraction	SRS13753907	Library Construction	flap-enabled next-generation capture (FENGC)	Single	Nucleic Acid Sequencing	Pacific Biosciences (PacBio) Sequel IIe SMRT platform	TargetCCSEM	GLDS-648_TargetCCSEM-seq_SRS13753907_raw.fastq.gz	GeneLab raw data processing protocol	30302	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-648_GTargetCCSEM-seq_raw_multiqc_GLMethylSeq_report.zip
SRS13753908	Nucleic Acid Extraction	SRS13753908	Library Construction	flap-enabled next-generation capture (FENGC)	Single	Nucleic Acid Sequencing	Pacific Biosciences (PacBio) Sequel IIe SMRT platform	TargetCCSEM	GLDS-648_TargetCCSEM-seq_SRS13753908_raw.fastq.gz	GeneLab raw data processing protocol	89472	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-648_GTargetCCSEM-seq_raw_multiqc_GLMethylSeq_report.zip
SRS13753909	Nucleic Acid Extraction	SRS13753909	Library Construction	flap-enabled next-generation capture (FENGC)	Single	Nucleic Acid Sequencing	Pacific Biosciences (PacBio) Sequel IIe SMRT platform	TargetCCSEM	GLDS-648_TargetCCSEM-seq_SRS13753909_raw.fastq.gz	GeneLab raw data processing protocol	121897	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-648_GTargetCCSEM-seq_raw_multiqc_GLMethylSeq_report.zip
SRS13753910	Nucleic Acid Extraction	SRS13753910	Library Construction	flap-enabled next-generation capture (FENGC)	Single	Nucleic Acid Sequencing	Pacific Biosciences (PacBio) Sequel IIe SMRT platform	TargetCCSEM	GLDS-648_TargetCCSEM-seq_SRS13753910_raw.fastq.gz	GeneLab raw data processing protocol	40969	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-648_GTargetCCSEM-seq_raw_multiqc_GLMethylSeq_report.zip
SRS13753911	Nucleic Acid Extraction	SRS13753911	Library Construction	flap-enabled next-generation capture (FENGC)	Single	Nucleic Acid Sequencing	Pacific Biosciences (PacBio) Sequel IIe SMRT platform	TargetCCSEM	GLDS-648_TargetCCSEM-seq_SRS13753911_raw.fastq.gz	GeneLab raw data processing protocol	36483	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-648_GTargetCCSEM-seq_raw_multiqc_GLMethylSeq_report.zip
SRS13753912	Nucleic Acid Extraction	SRS13753912	Library Construction	flap-enabled next-generation capture (FENGC)	Single	Nucleic Acid Sequencing	Pacific Biosciences (PacBio) Sequel IIe SMRT platform	TargetCCSEM	GLDS-648_TargetCCSEM-seq_SRS13753912_raw.fastq.gz	GeneLab raw data processing protocol	35366	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-648_GTargetCCSEM-seq_raw_multiqc_GLMethylSeq_report.zip
SRS13753913	Nucleic Acid Extraction	SRS13753913	Library Construction	flap-enabled next-generation capture (FENGC)	Single	Nucleic Acid Sequencing	Pacific Biosciences (PacBio) Sequel IIe SMRT platform	TargetCCSEM	GLDS-648_TargetCCSEM-seq_SRS13753913_raw.fastq.gz	GeneLab raw data processing protocol	25285	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-648_GTargetCCSEM-seq_raw_multiqc_GLMethylSeq_report.zip
SRS13753914	Nucleic Acid Extraction	SRS13753914	Library Construction	flap-enabled next-generation capture (FENGC)	Single	Nucleic Acid Sequencing	Pacific Biosciences (PacBio) Sequel IIe SMRT platform	TargetCCSEM	GLDS-648_TargetCCSEM-seq_SRS13753914_raw.fastq.gz	GeneLab raw data processing protocol	77863	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-648_GTargetCCSEM-seq_raw_multiqc_GLMethylSeq_report.zip
SRS13753915	Nucleic Acid Extraction	SRS13753915	Library Construction	flap-enabled next-generation capture (FENGC)	Single	Nucleic Acid Sequencing	Pacific Biosciences (PacBio) Sequel IIe SMRT platform	TargetCCSEM	GLDS-648_TargetCCSEM-seq_SRS13753915_raw.fastq.gz	GeneLab raw data processing protocol	87926	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-648_GTargetCCSEM-seq_raw_multiqc_GLMethylSeq_report.zip
SRS13753916	Nucleic Acid Extraction	SRS13753916	Library Construction	flap-enabled next-generation capture (FENGC)	Single	Nucleic Acid Sequencing	Pacific Biosciences (PacBio) Sequel IIe SMRT platform	TargetCCSEM	GLDS-648_TargetCCSEM-seq_SRS13753916_raw.fastq.gz	GeneLab raw data processing protocol	29038	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-648_GTargetCCSEM-seq_raw_multiqc_GLMethylSeq_report.zip
SRS13753917	Nucleic Acid Extraction	SRS13753917	Library Construction	flap-enabled next-generation capture (FENGC)	Single	Nucleic Acid Sequencing	Pacific Biosciences (PacBio) Sequel IIe SMRT platform	TargetCCSEM	GLDS-648_TargetCCSEM-seq_SRS13753917_raw.fastq.gz	GeneLab raw data processing protocol	40149	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-648_GTargetCCSEM-seq_raw_multiqc_GLMethylSeq_report.zip
SRS13753918	Nucleic Acid Extraction	SRS13753918	Library Construction	flap-enabled next-generation capture (FENGC)	Single	Nucleic Acid Sequencing	Pacific Biosciences (PacBio) Sequel IIe SMRT platform	TargetCCSEM	GLDS-648_TargetCCSEM-seq_SRS13753918_raw.fastq.gz	GeneLab raw data processing protocol	40916	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-648_GTargetCCSEM-seq_raw_multiqc_GLMethylSeq_report.zip
SRS13753919	Nucleic Acid Extraction	SRS13753919	Library Construction	flap-enabled next-generation capture (FENGC)	Single	Nucleic Acid Sequencing	Pacific Biosciences (PacBio) Sequel IIe SMRT platform	TargetCCSEM	GLDS-648_TargetCCSEM-seq_SRS13753919_raw.fastq.gz	GeneLab raw data processing protocol	49144	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-648_GTargetCCSEM-seq_raw_multiqc_GLMethylSeq_report.zip
