Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Factor Value[Genotype]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Term Source REF	Term Accession Number	Characteristics[organism part]	Term Source REF	Term Accession Number	Characteristics[Seed Source]	Characteristics[age]	Unit	Term Source REF	Term Accession Number	Characteristics[developmental stage]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Growth Medium]	Term Source REF	Term Accession Number	Parameter Value[Mean Growth Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Hardware]	Term Source REF	Term Accession Number	Parameter Value[container]	Term Source REF	Term Accession Number	Parameter Value[light source]	Term Source REF	Term Accession Number	Parameter Value[light cycle]	Unit	Term Source REF	Term Accession Number	Parameter Value[Light Intensity]	Unit	Term Source REF	Term Accession Number	Parameter Value[light quality]	Term Source REF	Term Accession Number	Parameter Value[growth environment]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Age at sample harvest]	Unit	Term Source REF	Term Accession Number	Parameter Value[Developmental stage at time of sample collection]
Ground control, Col-0, Roots, replicate 1	SRS13753904	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Plant Roots	MESH	http://purl.bioontology.org/ontology/MESH/D018517	TAIR CS70000	11	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Ground Control	OSD	https://osdr.nasa.gov/	Growth Protocol	50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture	OSD	https://osdr.nasa.gov/	17.143	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Vegetable Production System (Veggie)	OSD	https://osdr.nasa.gov/	100 mm Petri dish	OSD	https://osdr.nasa.gov/	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100–135	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	red and blue	OSD	https://osdr.nasa.gov/	International Space Station Environmental Simulator (ISSES)	OSD	https://osdr.nasa.gov/	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	11	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Seedlings
Ground control, Col-0, Roots, replicate 2	SRS13753905	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Plant Roots	MESH	http://purl.bioontology.org/ontology/MESH/D018517	TAIR CS70000	11	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Ground Control	OSD	https://osdr.nasa.gov/	Growth Protocol	50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture	OSD	https://osdr.nasa.gov/	17.143	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Vegetable Production System (Veggie)	OSD	https://osdr.nasa.gov/	100 mm Petri dish	OSD	https://osdr.nasa.gov/	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100–135	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	red and blue	OSD	https://osdr.nasa.gov/	International Space Station Environmental Simulator (ISSES)	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	11	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Seedlings
Ground control, elp2-5, Roots, replicate 3	SRS13753906	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	elp2-5			Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Plant Roots	MESH	http://purl.bioontology.org/ontology/MESH/D018517	Dr. Zhonglin Mou	11	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Ground Control	OSD	https://osdr.nasa.gov/	Growth Protocol	50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture	OSD	https://osdr.nasa.gov/	17.143	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Vegetable Production System (Veggie)	OSD	https://osdr.nasa.gov/	100 mm Petri dish	OSD	https://osdr.nasa.gov/	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100–135	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	red and blue	OSD	https://osdr.nasa.gov/	International Space Station Environmental Simulator (ISSES)	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	11	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Seedlings
Flight, elp2-5, Roots, replicate 1	SRS13753908	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	elp2-5			Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Plant Roots	MESH	http://purl.bioontology.org/ontology/MESH/D018517	Dr. Zhonglin Mou	11	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Growth Protocol	50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture	OSD	https://osdr.nasa.gov/	19.059	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Vegetable Production System (Veggie)	OSD	https://osdr.nasa.gov/	100 mm Petri dish	OSD	https://osdr.nasa.gov/	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100–135	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	red and blue	OSD	https://osdr.nasa.gov/	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	11	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Seedlings
Ground control, elp2-5, Roots, replicate 4	SRS13753907	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	elp2-5			Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Plant Roots	MESH	http://purl.bioontology.org/ontology/MESH/D018517	Dr. Zhonglin Mou	11	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Ground Control	OSD	https://osdr.nasa.gov/	Growth Protocol	50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture	OSD	https://osdr.nasa.gov/	17.143	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Vegetable Production System (Veggie)	OSD	https://osdr.nasa.gov/	100 mm Petri dish	OSD	https://osdr.nasa.gov/	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100–135	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	red and blue	OSD	https://osdr.nasa.gov/	International Space Station Environmental Simulator (ISSES)	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	11	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Seedlings
Flight, elp2-5, Roots, replicate 2	SRS13753909	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	elp2-5			Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Plant Roots	MESH	http://purl.bioontology.org/ontology/MESH/D018517	Dr. Zhonglin Mou	11	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Growth Protocol	50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture	OSD	https://osdr.nasa.gov/	19.059	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Vegetable Production System (Veggie)	OSD	https://osdr.nasa.gov/	100 mm Petri dish	OSD	https://osdr.nasa.gov/	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100–135	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	red and blue	OSD	https://osdr.nasa.gov/	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	11	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Seedlings
Flight, elp2-5, Roots, replicate 3	SRS13753910	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	elp2-5			Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Plant Roots	MESH	http://purl.bioontology.org/ontology/MESH/D018517	Dr. Zhonglin Mou	11	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Growth Protocol	50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture	OSD	https://osdr.nasa.gov/	19.059	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Vegetable Production System (Veggie)	OSD	https://osdr.nasa.gov/	100 mm Petri dish	OSD	https://osdr.nasa.gov/	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100–135	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	red and blue	OSD	https://osdr.nasa.gov/	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	11	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Seedlings
Flight, elp2-5, Roots, replicate 4	SRS13753911	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	elp2-5			Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Plant Roots	MESH	http://purl.bioontology.org/ontology/MESH/D018517	Dr. Zhonglin Mou	11	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Growth Protocol	50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture	OSD	https://osdr.nasa.gov/	19.059	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Vegetable Production System (Veggie)	OSD	https://osdr.nasa.gov/	100 mm Petri dish	OSD	https://osdr.nasa.gov/	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100–135	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	red and blue	OSD	https://osdr.nasa.gov/	ISS-Columbus	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	11	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Seedlings
Ground control, Col-0, Roots, replicate 3	SRS13753912	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Plant Roots	MESH	http://purl.bioontology.org/ontology/MESH/D018517	TAIR CS70000	11	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Ground Control	OSD	https://osdr.nasa.gov/	Growth Protocol	50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture	OSD	https://osdr.nasa.gov/	17.143	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Vegetable Production System (Veggie)	OSD	https://osdr.nasa.gov/	100 mm Petri dish	OSD	https://osdr.nasa.gov/	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100–135	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	red and blue	OSD	https://osdr.nasa.gov/	International Space Station Environmental Simulator (ISSES)	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	11	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Seedlings
Ground control, Col-0, Roots, replicate 4	SRS13753913	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Col-0			Col-0	EFO	http://www.ebi.ac.uk/efo/EFO_0005148	Plant Roots	MESH	http://purl.bioontology.org/ontology/MESH/D018517	TAIR CS70000	11	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Ground Control	OSD	https://osdr.nasa.gov/	Growth Protocol	50 mL of a 0.5% Phytagel-based growth medium supplemented with: 0.5 x Murashige-Skoog salts, 0.5% (w/v) sucrose, and 1 x Gamborgs Vitamin Mixture	OSD	https://osdr.nasa.gov/	17.143	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Vegetable Production System (Veggie)	OSD	https://osdr.nasa.gov/	100 mm Petri dish	OSD	https://osdr.nasa.gov/	Light Emitting Diode Device	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49923	24	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	100–135	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	red and blue	OSD	https://osdr.nasa.gov/	International Space Station Environmental Simulator (ISSES)	RBO	http://purl.obolibrary.org/obo/RBO_00000042	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	11	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Seedlings
