Sample Name	Protocol REF	Parameter Value[Type Of Sample]	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Number Of Times Tissue Was Frozen]	Protocol REF	Parameter Value[Name Of Kit]	Parameter Value[Company Name]	Parameter Value[Number Of Targets]	Assay Name	Raw Data File	Parameter Value[Target Information File]	Protocol REF	Parameter Value[Submitted Results Files]	Parameter Value[Transformed Files]
C001_urine_L-92	Sample Preparation	Urine	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	1	Assay Information	NULISA-seq 200plex v1 Inflammation Panel	Alamar Biosciences	203	Multiplex	Not Available	LSDS-64_Multiplex_200plex v1-Target Information.csv	ALSDA Transformed Data	LSDS-64_Multiplex_urine.immune.AlamarPanel_SUBMITTED.xlsx	LSDS-64_Multiplex_urine.immune.AlamarPanel_TRANSFORMED.csv
C002_urine_L-92	Sample Preparation	Urine	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	1	Assay Information	NULISA-seq 200plex v1 Inflammation Panel	Alamar Biosciences	203	Multiplex	Not Available	LSDS-64_Multiplex_200plex v1-Target Information.csv	ALSDA Transformed Data	LSDS-64_Multiplex_urine.immune.AlamarPanel_SUBMITTED.xlsx	LSDS-64_Multiplex_urine.immune.AlamarPanel_TRANSFORMED.csv
C003_urine_L-92	Sample Preparation	Urine	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	1	Assay Information	NULISA-seq 200plex v1 Inflammation Panel	Alamar Biosciences	203	Multiplex	Not Available	LSDS-64_Multiplex_200plex v1-Target Information.csv	ALSDA Transformed Data	LSDS-64_Multiplex_urine.immune.AlamarPanel_SUBMITTED.xlsx	LSDS-64_Multiplex_urine.immune.AlamarPanel_TRANSFORMED.csv
C004_urine_L-92	Sample Preparation	Urine	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	1	Assay Information	NULISA-seq 200plex v1 Inflammation Panel	Alamar Biosciences	203	Multiplex	Not Available	LSDS-64_Multiplex_200plex v1-Target Information.csv	ALSDA Transformed Data	LSDS-64_Multiplex_urine.immune.AlamarPanel_SUBMITTED.xlsx	LSDS-64_Multiplex_urine.immune.AlamarPanel_TRANSFORMED.csv
C001_urine_L-44	Sample Preparation	Urine	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	1	Assay Information	NULISA-seq 200plex v1 Inflammation Panel	Alamar Biosciences	203	Multiplex	Not Available	LSDS-64_Multiplex_200plex v1-Target Information.csv	ALSDA Transformed Data	LSDS-64_Multiplex_urine.immune.AlamarPanel_SUBMITTED.xlsx	LSDS-64_Multiplex_urine.immune.AlamarPanel_TRANSFORMED.csv
C002_urine_L-44	Sample Preparation	Urine	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	1	Assay Information	NULISA-seq 200plex v1 Inflammation Panel	Alamar Biosciences	203	Multiplex	Not Available	LSDS-64_Multiplex_200plex v1-Target Information.csv	ALSDA Transformed Data	LSDS-64_Multiplex_urine.immune.AlamarPanel_SUBMITTED.xlsx	LSDS-64_Multiplex_urine.immune.AlamarPanel_TRANSFORMED.csv
C003_urine_L-44	Sample Preparation	Urine	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	1	Assay Information	NULISA-seq 200plex v1 Inflammation Panel	Alamar Biosciences	203	Multiplex	Not Available	LSDS-64_Multiplex_200plex v1-Target Information.csv	ALSDA Transformed Data	LSDS-64_Multiplex_urine.immune.AlamarPanel_SUBMITTED.xlsx	LSDS-64_Multiplex_urine.immune.AlamarPanel_TRANSFORMED.csv
C004_urine_L-44	Sample Preparation	Urine	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	1	Assay Information	NULISA-seq 200plex v1 Inflammation Panel	Alamar Biosciences	203	Multiplex	Not Available	LSDS-64_Multiplex_200plex v1-Target Information.csv	ALSDA Transformed Data	LSDS-64_Multiplex_urine.immune.AlamarPanel_SUBMITTED.xlsx	LSDS-64_Multiplex_urine.immune.AlamarPanel_TRANSFORMED.csv
C002_urine_L-3	Sample Preparation	Urine	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	1	Assay Information	NULISA-seq 200plex v1 Inflammation Panel	Alamar Biosciences	203	Multiplex	Not Available	LSDS-64_Multiplex_200plex v1-Target Information.csv	ALSDA Transformed Data	LSDS-64_Multiplex_urine.immune.AlamarPanel_SUBMITTED.xlsx	LSDS-64_Multiplex_urine.immune.AlamarPanel_TRANSFORMED.csv
C003_urine_L-3	Sample Preparation	Urine	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	1	Assay Information	NULISA-seq 200plex v1 Inflammation Panel	Alamar Biosciences	203	Multiplex	Not Available	LSDS-64_Multiplex_200plex v1-Target Information.csv	ALSDA Transformed Data	LSDS-64_Multiplex_urine.immune.AlamarPanel_SUBMITTED.xlsx	LSDS-64_Multiplex_urine.immune.AlamarPanel_TRANSFORMED.csv
