Sample Name	Protocol REF	Parameter Value[Camera Make And Model]	Parameter Value[Focal Length Of Photo]	Unit	Term Source REF	Term Accession Number	Parameter Value[Focal Plane X Resolution]	Unit	Term Source REF	Term Accession Number	Parameter Value[Focal Plane Y Resolution]	Unit	Term Source REF	Term Accession Number	Parameter Value[Date Of Photo Taken]	Image File Dimensions Height Y	Unit	Term Source REF	Term Accession Number	Image File Dimensions Width X	Unit	Term Source REF	Term Accession Number	Raw Data File
A1L1	Image Analysis 1	iPhone SE (2nd generation)	28	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	3/3/2021 22:53	4032	pixel	OSD	https://osdr.nasa.gov/	3024	pixel			LSDS-73_morphometric-photography_ExpA_B1_Lettuce_1.jpg
A1L2	Image Analysis 1	iPhone SE (2nd generation)	28	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	3/3/2021 22:53	4032	pixel	OSD	https://osdr.nasa.gov/	3024	pixel			LSDS-73_morphometric-photography_ExpA_B1_Lettuce_1.jpg
A1L3	Image Analysis 1	iPhone SE (2nd generation)	28	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	3/3/2021 23:04	4032	pixel	OSD	https://osdr.nasa.gov/	3024	pixel			LSDS-73_morphometric-photography_ExpA_B1_Lettuce_2.jpg
A1L4	Image Analysis 1	iPhone SE (2nd generation)	28	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	3/3/2021 23:04	4032	pixel	OSD	https://osdr.nasa.gov/	3024	pixel			LSDS-73_morphometric-photography_ExpA_B1_Lettuce_2.jpg
A1P1	Image Analysis 1	iPhone SE (2nd generation)	28	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	3/3/2021 23:52	4032	pixel	OSD	https://osdr.nasa.gov/	3024	pixel			LSDS-73_morphometric-photography_ExpA_B1_Pepper.jpg
A1P2	Image Analysis 1	iPhone SE (2nd generation)	28	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	3/4/2021 23:52	4032	pixel	OSD	https://osdr.nasa.gov/	3024	pixel			LSDS-73_morphometric-photography_ExpA_B1_Pepper.jpg
A1P3	Image Analysis 1	iPhone SE (2nd generation)	28	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	3/5/2021 23:52	4032	pixel	OSD	https://osdr.nasa.gov/	3024	pixel			LSDS-73_morphometric-photography_ExpA_B1_Pepper.jpg
A1P4	Image Analysis 1	iPhone SE (2nd generation)	28	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	3/6/2021 23:52	4032	pixel	OSD	https://osdr.nasa.gov/	3024	pixel			LSDS-73_morphometric-photography_ExpA_B1_Pepper.jpg
A1P6	Image Analysis 1	iPhone SE (2nd generation)	28	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	3/6/2021 23:52	4032	pixel	OSD	https://osdr.nasa.gov/	3024	pixel			LSDS-73_morphometric-photography_ExpA_B1_Pepper.jpg
A1R1	Image Analysis 1	iPhone SE (2nd generation)	28	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	3/3/2021 23:18	4032	pixel	OSD	https://osdr.nasa.gov/	3024	pixel			LSDS-73_morphometric-photography_ExpA_B1_Radish_1.jpg
A1R2	Image Analysis 1	iPhone SE (2nd generation)	28	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	72	dots per inch	UO	http://purl.obolibrary.org/obo/UO_0000240	3/3/2021 23:34	4032	pixel	OSD	https://osdr.nasa.gov/	3024	pixel			LSDS-73_morphometric-photography_ExpA_B1_Radish_2.jpg
