Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Factor Value[Substrate Type]	Protocol REF	Parameter Value[Growth Time]	Unit	Term Source REF	Term Accession Number	Parameter Value[soil environment exposure]	Unit	Term Source REF	Term Accession Number	Parameter Value[mean growth temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[container]	Parameter Value[light source]	Parameter Value[light intensity]	Unit	Term Source REF	Term Accession Number	Parameter Value[watering schedule]	Parameter Value[relative humidity]	Unit	Term Source REF	Term Accession Number	Parameter Value[Number of seeds germinated (out of 5 total)]	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[gravity treatment]	Term Source REF	Term Accession Number	Parameter Value[pH]	Parameter Value[Plant Height]	Unit	Term Source REF	Term Accession Number	Parameter Value[Plant Biomass]	Unit	Term Source REF	Term Accession Number	Parameter Value[leaf area]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[pH]	Term Source REF	Term Accession Number	Parameter Value[Aluminum]	Unit	Term Source REF	Term Accession Number	Parameter Value[Nitrogen]	Unit	Term Source REF	Term Accession Number	Parameter Value[Carbon]	Unit	Term Source REF	Term Accession Number	Parameter Value[Cation Exchange Capacity]	Unit	Term Source REF	Term Accession Number	Parameter Value[Calcium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Copper]	Unit	Term Source REF	Term Accession Number	Parameter Value[Magnesium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Manganese]	Unit	Term Source REF	Term Accession Number	Parameter Value[Sodium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Phosphorus]	Unit	Term Source REF	Term Accession Number	Parameter Value[Nitrates]	Unit	Term Source REF	Term Accession Number	Parameter Value[ammonium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Potassium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Zinc]	Unit	Term Source REF	Term Accession Number	Parameter Value[Iron]	Unit	Term Source REF	Term Accession Number	Parameter Value[soil organic matter]	Unit	Term Source REF	Term Accession Number	Parameter Value[Sand]	Unit	Term Source REF	Term Accession Number	Parameter Value[silt]	Unit	Term Source REF	Term Accession Number	Parameter Value[Clay]	Unit	Term Source REF	Term Accession Number
A1L1	A1L1	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Outredgeous	OSD	https://osdr.nasa.gov/	Plants	MESH	http://purl.bioontology.org/ontology/MESH/D010944	100% peat moss	Growth Protocol	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	19.8 to 23.4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4 inch pot	cool white fluorescent and incandescent	275	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	watered every other day to field capacity	50 to 60	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	5	sample collection	Drying Oven	OSD	https://osdr.nasa.gov/	1g			4.7	2.98	centimeter	UO	http://purl.obolibrary.org/obo/UO_0000015	50.7	milligram	RBO	http://purl.obolibrary.org/obo/UO_0000022	1.405	square centimeter	UO	http://purl.obolibrary.org/obo/UO_0000081	Quantitative Soil Analysis	4.7			1.97	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	1.21	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	43.65	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	43.98	milliequivalents per 100 grams	OSD	https://osdr.nasa.gov/	6028.1	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	0.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	1814	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	64	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	41.6	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	30	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	82.4	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	129.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	226	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	9.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	553.6	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	87.6	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187
A2L1	A2L1	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Outredgeous	OSD	https://osdr.nasa.gov/	Plants	MESH	http://purl.bioontology.org/ontology/MESH/D010944	100% peat moss	Growth Protocol	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	19.8 to 23.4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4 inch pot	cool white fluorescent and incandescent	275	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	watered every other day to field capacity	50 to 60	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	5	sample collection	Drying Oven	OSD	https://osdr.nasa.gov/	1g			4.7	1.2	centimeter	UO	http://purl.obolibrary.org/obo/UO_0000015	116.9	milligram	RBO	http://purl.obolibrary.org/obo/UO_0000022	3.477	square centimeter	UO	http://purl.obolibrary.org/obo/UO_0000081	Quantitative Soil Analysis	4.7			1.97	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	1.21	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	43.65	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	43.98	milliequivalents per 100 grams	OSD	https://osdr.nasa.gov/	6028.1	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	0.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	1814	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	64	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	41.6	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	30	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	82.4	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	129.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	226	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	9.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	553.6	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	87.6	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187
A3L1	A3L1	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Outredgeous	OSD	https://osdr.nasa.gov/	Plants	MESH	http://purl.bioontology.org/ontology/MESH/D010944	100% peat moss	Growth Protocol	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	19.8 to 23.4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4 inch pot	cool white fluorescent and incandescent	275	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	watered every other day to field capacity	50 to 60	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	3	sample collection	Drying Oven	OSD	https://osdr.nasa.gov/	1g			4.7	2.233333333	centimeter	UO	http://purl.obolibrary.org/obo/UO_0000015	74.8	milligram	RBO	http://purl.obolibrary.org/obo/UO_0000022	2.085	square centimeter	UO	http://purl.obolibrary.org/obo/UO_0000081	Quantitative Soil Analysis	4.7			1.97	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	1.21	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	43.65	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	43.98	milliequivalents per 100 grams	OSD	https://osdr.nasa.gov/	6028.1	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	0.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	1814	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	64	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	41.6	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	30	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	82.4	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	129.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	226	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	9.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	553.6	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	87.6	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187
A1L2	A1L2	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Outredgeous	OSD	https://osdr.nasa.gov/	Plants	MESH	http://purl.bioontology.org/ontology/MESH/D010944	75% peat moss / 25% simulant	Growth Protocol	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	19.8 to 23.4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4 inch pot	cool white fluorescent and incandescent	275	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	watered every other day to field capacity	50 to 60	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	4	sample collection	Drying Oven	OSD	https://osdr.nasa.gov/	1g			5.4	3.1	centimeter	UO	http://purl.obolibrary.org/obo/UO_0000015	75.2	milligram	RBO	http://purl.obolibrary.org/obo/UO_0000022	1.05	square centimeter	UO	http://purl.obolibrary.org/obo/UO_0000081	Quantitative Soil Analysis	5.4			0.02	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	0.71	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	27.23	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	35.29	milliequivalents per 100 grams	OSD	https://osdr.nasa.gov/	5370.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	12.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	4333.3	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	56.6	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	51.9	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	15	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	87.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	17.9	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	184	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	7.7	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	316	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	60.8	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187
A2L2	A2L2	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Outredgeous	OSD	https://osdr.nasa.gov/	Plants	MESH	http://purl.bioontology.org/ontology/MESH/D010944	75% peat moss / 25% simulant	Growth Protocol	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	19.8 to 23.4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4 inch pot	cool white fluorescent and incandescent	275	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	watered every other day to field capacity	50 to 60	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	3	sample collection	Drying Oven	OSD	https://osdr.nasa.gov/	1g			5.4	1.8	centimeter	UO	http://purl.obolibrary.org/obo/UO_0000015	54.8	milligram	RBO	http://purl.obolibrary.org/obo/UO_0000022	0.655	square centimeter	UO	http://purl.obolibrary.org/obo/UO_0000081	Quantitative Soil Analysis	5.4			0.02	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	0.71	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	27.23	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	35.29	milliequivalents per 100 grams	OSD	https://osdr.nasa.gov/	5370.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	12.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	4333.3	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	56.6	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	51.9	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	15	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	87.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	17.9	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	184	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	7.7	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	316	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	60.8	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187
A3L2	A3L2	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Outredgeous	OSD	https://osdr.nasa.gov/	Plants	MESH	http://purl.bioontology.org/ontology/MESH/D010944	75% peat moss / 25% simulant	Growth Protocol	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	19.8 to 23.4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4 inch pot	cool white fluorescent and incandescent	275	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	watered every other day to field capacity	50 to 60	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	2	sample collection	Drying Oven	OSD	https://osdr.nasa.gov/	1g			5.4	1.3	centimeter	UO	http://purl.obolibrary.org/obo/UO_0000015	20.3	milligram	RBO	http://purl.obolibrary.org/obo/UO_0000022	0.619	square centimeter	UO	http://purl.obolibrary.org/obo/UO_0000081	Quantitative Soil Analysis	5.4			0.02	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	0.71	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	27.23	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	35.29	milliequivalents per 100 grams	OSD	https://osdr.nasa.gov/	5370.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	12.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	4333.3	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	56.6	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	51.9	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	15	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	87.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	17.9	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	184	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	7.7	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	316	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	60.8	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187
A1L3	A1L3	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Outredgeous	OSD	https://osdr.nasa.gov/	Plants	MESH	http://purl.bioontology.org/ontology/MESH/D010944	50% peat moss / 50% simulant	Growth Protocol	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	19.8 to 23.4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4 inch pot	cool white fluorescent and incandescent	275	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	watered every other day to field capacity	50 to 60	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	3	sample collection	Drying Oven	OSD	https://osdr.nasa.gov/	1g			6.2	2.5	centimeter	UO	http://purl.obolibrary.org/obo/UO_0000015	2	milligram	RBO	http://purl.obolibrary.org/obo/UO_0000022	0.168	square centimeter	UO	http://purl.obolibrary.org/obo/UO_0000081	Quantitative Soil Analysis	6.2			0	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	0.51	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	19.53	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	33.86	milliequivalents per 100 grams	OSD	https://osdr.nasa.gov/	3826.1	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	13.8	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	6338.6	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	57.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	66.4	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	6.8	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	32.1	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	46.7	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	177.7	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	7.1	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	229.8	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	35.3	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187
A2L3	A2L3	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Outredgeous	OSD	https://osdr.nasa.gov/	Plants	MESH	http://purl.bioontology.org/ontology/MESH/D010944	50% peat moss / 50% simulant	Growth Protocol	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	19.8 to 23.4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4 inch pot	cool white fluorescent and incandescent	275	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	watered every other day to field capacity	50 to 60	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	1	sample collection	Drying Oven	OSD	https://osdr.nasa.gov/	1g			6.2	0.6	centimeter	UO	http://purl.obolibrary.org/obo/UO_0000015	21.7	milligram	RBO	http://purl.obolibrary.org/obo/UO_0000022	0.741	square centimeter	UO	http://purl.obolibrary.org/obo/UO_0000081	Quantitative Soil Analysis	6.2			0	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	0.51	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	19.53	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	33.86	milliequivalents per 100 grams	OSD	https://osdr.nasa.gov/	3826.1	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	13.8	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	6338.6	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	57.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	66.4	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	6.8	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	32.1	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	46.7	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	177.7	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	7.1	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	229.8	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	35.3	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187
A3L3	A3L3	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Outredgeous	OSD	https://osdr.nasa.gov/	Plants	MESH	http://purl.bioontology.org/ontology/MESH/D010944	50% peat moss / 50% simulant	Growth Protocol	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	19.8 to 23.4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4 inch pot	cool white fluorescent and incandescent	275	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	watered every other day to field capacity	50 to 60	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	3	sample collection	Drying Oven	OSD	https://osdr.nasa.gov/	1g			6.2	0	centimeter	UO	http://purl.obolibrary.org/obo/UO_0000015	0	milligram	RBO	http://purl.obolibrary.org/obo/UO_0000022	0	square centimeter	UO	http://purl.obolibrary.org/obo/UO_0000081	Quantitative Soil Analysis	6.2			0	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	0.51	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	19.53	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	33.86	milliequivalents per 100 grams	OSD	https://osdr.nasa.gov/	3826.1	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	13.8	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	6338.6	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	57.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	66.4	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	6.8	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	32.1	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	46.7	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	177.7	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	7.1	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	229.8	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	35.3	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Not Available	percent	UO	http://purl.obolibrary.org/obo/UO_0000187
A1L4	A1L4	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Outredgeous	OSD	https://osdr.nasa.gov/	Plants	MESH	http://purl.bioontology.org/ontology/MESH/D010944	25% peat moss / 75% simulant	Growth Protocol	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	55	day	UO	http://purl.obolibrary.org/obo/UO_0000033	19.8 to 23.4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	4 inch pot	cool white fluorescent and incandescent	275	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	watered every other day to field capacity	50 to 60	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	2	sample collection	Drying Oven	OSD	https://osdr.nasa.gov/	1g			7	2	centimeter	UO	http://purl.obolibrary.org/obo/UO_0000015	25.4	milligram	RBO	http://purl.obolibrary.org/obo/UO_0000022	0	square centimeter	UO	http://purl.obolibrary.org/obo/UO_0000081	Quantitative Soil Analysis	7			0	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	0.23	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	11.74	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	23.38	milliequivalents per 100 grams	OSD	https://osdr.nasa.gov/	3234.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	15.1	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	6532.8	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	30.4	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	65.5	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	4.9	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	8	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	24.9	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	146.6	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	6.6	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	111	milligram per kilogram	UO	http://purl.obolibrary.org/obo/UO_0000308	14.6	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	24	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	68	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	8	percent	UO	http://purl.obolibrary.org/obo/UO_0000187
