Sample Name	Protocol REF	Extract Name	Protocol REF	Parameter Value[Instrument]	Parameter Value[Chromatography]	Parameter Value[Ion Source]	Parameter Value[Dissociation]	Parameter Value[Detector]	Parameter Value[Analyzer]	MS Assay Name	Raw Spectral Data File
LSMMG-1	Extraction	LSMMG-1	Mass Spectrometry	250 mm Ultrahigh-Performance Liquid Chromatography (UHPLC) system coupled to an Orbitrap Fusion mass spectrometer (Thermo Scientific)	reversed-phase C18 analytical column with a 100Å pore (Thermo Scientific, Acclaim PepMap 100 C18 LC Column)	Electrospray Ionization (ESI)	Collision-Induced Dissociation (CID)	Orbitrap	Proteome Discoverer	secretomics	GLDS-614_proteomics_LSMMG-1.raw
LSMMG-2	Extraction	LSMMG-2	Mass Spectrometry	250 mm Ultrahigh-Performance Liquid Chromatography (UHPLC) system coupled to an Orbitrap Fusion mass spectrometer (Thermo Scientific)	reversed-phase C18 analytical column with a 100Å pore (Thermo Scientific, Acclaim PepMap 100 C18 LC Column)	Electrospray Ionization (ESI)	Collision-Induced Dissociation (CID)	Orbitrap	Proteome Discoverer	secretomics	GLDS-614_proteomics_LSMMG-2.raw
LSMMG-3	Extraction	LSMMG-3	Mass Spectrometry	250 mm Ultrahigh-Performance Liquid Chromatography (UHPLC) system coupled to an Orbitrap Fusion mass spectrometer (Thermo Scientific)	reversed-phase C18 analytical column with a 100Å pore (Thermo Scientific, Acclaim PepMap 100 C18 LC Column)	Electrospray Ionization (ESI)	Collision-Induced Dissociation (CID)	Orbitrap	Proteome Discoverer	secretomics	GLDS-614_proteomics_LSMMG-3.raw
LSMMG-4	Extraction	LSMMG-4	Mass Spectrometry	250 mm Ultrahigh-Performance Liquid Chromatography (UHPLC) system coupled to an Orbitrap Fusion mass spectrometer (Thermo Scientific)	reversed-phase C18 analytical column with a 100Å pore (Thermo Scientific, Acclaim PepMap 100 C18 LC Column)	Electrospray Ionization (ESI)	Collision-Induced Dissociation (CID)	Orbitrap	Proteome Discoverer	secretomics	GLDS-614_proteomics_LSMMG-4.raw
Inv-NG1	Extraction	Inv-NG1	Mass Spectrometry	250 mm Ultrahigh-Performance Liquid Chromatography (UHPLC) system coupled to an Orbitrap Fusion mass spectrometer (Thermo Scientific)	reversed-phase C18 analytical column with a 100Å pore (Thermo Scientific, Acclaim PepMap 100 C18 LC Column)	Electrospray Ionization (ESI)	Collision-Induced Dissociation (CID)	Orbitrap	Proteome Discoverer	secretomics	GLDS-614_proteomics_Inv-NG1.raw
Inv-NG2	Extraction	Inv-NG2	Mass Spectrometry	250 mm Ultrahigh-Performance Liquid Chromatography (UHPLC) system coupled to an Orbitrap Fusion mass spectrometer (Thermo Scientific)	reversed-phase C18 analytical column with a 100Å pore (Thermo Scientific, Acclaim PepMap 100 C18 LC Column)	Electrospray Ionization (ESI)	Collision-Induced Dissociation (CID)	Orbitrap	Proteome Discoverer	secretomics	GLDS-614_proteomics_Inv-NG2.raw
Inv-NG3	Extraction	Inv-NG3	Mass Spectrometry	250 mm Ultrahigh-Performance Liquid Chromatography (UHPLC) system coupled to an Orbitrap Fusion mass spectrometer (Thermo Scientific)	reversed-phase C18 analytical column with a 100Å pore (Thermo Scientific, Acclaim PepMap 100 C18 LC Column)	Electrospray Ionization (ESI)	Collision-Induced Dissociation (CID)	Orbitrap	Proteome Discoverer	secretomics	GLDS-614_proteomics_Inv-NG3.raw
Inv-NG4	Extraction	Inv-NG4	Mass Spectrometry	250 mm Ultrahigh-Performance Liquid Chromatography (UHPLC) system coupled to an Orbitrap Fusion mass spectrometer (Thermo Scientific)	reversed-phase C18 analytical column with a 100Å pore (Thermo Scientific, Acclaim PepMap 100 C18 LC Column)	Electrospray Ionization (ESI)	Collision-Induced Dissociation (CID)	Orbitrap	Proteome Discoverer	secretomics	GLDS-614_proteomics_Inv-NG4.raw
NG1	Extraction	NG1	Mass Spectrometry	250 mm Ultrahigh-Performance Liquid Chromatography (UHPLC) system coupled to an Orbitrap Fusion mass spectrometer (Thermo Scientific)	reversed-phase C18 analytical column with a 100Å pore (Thermo Scientific, Acclaim PepMap 100 C18 LC Column)	Electrospray Ionization (ESI)	Collision-Induced Dissociation (CID)	Orbitrap	Proteome Discoverer	secretomics	GLDS-614_proteomics_NG-1.raw
NG2	Extraction	NG2	Mass Spectrometry	250 mm Ultrahigh-Performance Liquid Chromatography (UHPLC) system coupled to an Orbitrap Fusion mass spectrometer (Thermo Scientific)	reversed-phase C18 analytical column with a 100Å pore (Thermo Scientific, Acclaim PepMap 100 C18 LC Column)	Electrospray Ionization (ESI)	Collision-Induced Dissociation (CID)	Orbitrap	Proteome Discoverer	secretomics	GLDS-614_proteomics_LSMMG-2.raw
NG3	Extraction	NG3	Mass Spectrometry	250 mm Ultrahigh-Performance Liquid Chromatography (UHPLC) system coupled to an Orbitrap Fusion mass spectrometer (Thermo Scientific)	reversed-phase C18 analytical column with a 100Å pore (Thermo Scientific, Acclaim PepMap 100 C18 LC Column)	Electrospray Ionization (ESI)	Collision-Induced Dissociation (CID)	Orbitrap	Proteome Discoverer	secretomics	GLDS-614_proteomics_NG-3.raw
NG4	Extraction	NG4	Mass Spectrometry	250 mm Ultrahigh-Performance Liquid Chromatography (UHPLC) system coupled to an Orbitrap Fusion mass spectrometer (Thermo Scientific)	reversed-phase C18 analytical column with a 100Å pore (Thermo Scientific, Acclaim PepMap 100 C18 LC Column)	Electrospray Ionization (ESI)	Collision-Induced Dissociation (CID)	Orbitrap	Proteome Discoverer	secretomics	GLDS-614_proteomics_NG-4.raw
