Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[strain]	Comment[Comment]	Characteristics[Material Type]	Term Source REF	Term Accession Number	Factor Value[Microgravity Simulation]	Factor Value[Growth Environment]	Protocol REF	Parameter Value[Growth Time]	Unit	Term Source REF	Term Accession Number	Parameter Value[Growth Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Sample Media Information]	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number
LSMMG-1	LSMMG-1	Staphylococcus aureus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1280	UAMS-1	USA200 strain (MSSA)	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	uG by HARV	HARV with vertical base	treatment protocol	36	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	~23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	TSY-Glycerol media	sample collection	frozen	OBI	http://purl.obolibrary.org/obo/PATO_0001985	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
LSMMG-2	LSMMG-2	Staphylococcus aureus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1280	UAMS-1	USA200 strain (MSSA)	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	uG by HARV	HARV with vertical base	treatment protocol	36	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	~23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	TSY-Glycerol media	sample collection	frozen	OBI	http://purl.obolibrary.org/obo/PATO_0001985	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
LSMMG-3	LSMMG-3	Staphylococcus aureus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1280	UAMS-1	USA200 strain (MSSA)	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	uG by HARV	HARV with vertical base	treatment protocol	36	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	~23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	TSY-Glycerol media	sample collection	frozen	OBI	http://purl.obolibrary.org/obo/PATO_0001985	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
LSMMG-4	LSMMG-4	Staphylococcus aureus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1280	UAMS-1	USA200 strain (MSSA)	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	uG by HARV	HARV with vertical base	treatment protocol	36	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	~23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	TSY-Glycerol media	sample collection	frozen	OBI	http://purl.obolibrary.org/obo/PATO_0001985	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
Inv-NG1	Inv-NG1	Staphylococcus aureus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1280	UAMS-1	USA200 strain (MSSA)	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	1G by HARV	HARV inverted 180 degrees	treatment protocol	36	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	~23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	TSY-Glycerol media	sample collection	frozen	OBI	http://purl.obolibrary.org/obo/PATO_0001985	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
Inv-NG2	Inv-NG2	Staphylococcus aureus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1280	UAMS-1	USA200 strain (MSSA)	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	1G by HARV	HARV inverted 180 degrees	treatment protocol	36	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	~23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	TSY-Glycerol media	sample collection	frozen	OBI	http://purl.obolibrary.org/obo/PATO_0001985	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
Inv-NG3	Inv-NG3	Staphylococcus aureus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1280	UAMS-1	USA200 strain (MSSA)	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	1G by HARV	HARV inverted 180 degrees	treatment protocol	36	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	~23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	TSY-Glycerol media	sample collection	frozen	OBI	http://purl.obolibrary.org/obo/PATO_0001985	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
Inv-NG4	Inv-NG4	Staphylococcus aureus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1280	UAMS-1	USA200 strain (MSSA)	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	1G by HARV	HARV inverted 180 degrees	treatment protocol	36	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	~23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	TSY-Glycerol media	sample collection	frozen	OBI	http://purl.obolibrary.org/obo/PATO_0001985	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
NG1	NG1	Staphylococcus aureus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1280	UAMS-1	USA200 strain (MSSA)	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	1G by HARV	HARV in standard orientation	treatment protocol	36	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	~23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	TSY-Glycerol media	sample collection	frozen	OBI	http://purl.obolibrary.org/obo/PATO_0001985	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
NG2	NG2	Staphylococcus aureus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1280	UAMS-1	USA200 strain (MSSA)	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	1G by HARV	HARV in standard orientation	treatment protocol	36	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	~23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	TSY-Glycerol media	sample collection	frozen	OBI	http://purl.obolibrary.org/obo/PATO_0001985	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
NG3	NG3	Staphylococcus aureus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1280	UAMS-1	USA200 strain (MSSA)	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	1G by HARV	HARV in standard orientation	treatment protocol	36	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	~23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	TSY-Glycerol media	sample collection	frozen	OBI	http://purl.obolibrary.org/obo/PATO_0001985	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
NG4	NG4	Staphylococcus aureus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1280	UAMS-1	USA200 strain (MSSA)	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	1G by HARV	HARV in standard orientation	treatment protocol	36	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	~23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	TSY-Glycerol media	sample collection	frozen	OBI	http://purl.obolibrary.org/obo/PATO_0001985	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
