Sample Name	Protocol REF	Parameter Value[Cell Count]	Parameter Value[Library Layout]	Parameter Value[Library QA Instrument]	Parameter Value[Library QA Assay]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Parameter Value[base caller]	Assay Name	Raw Data File	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[MultiQC File Names]
C002_Tcell_R+194_10000_H3K27ac_Abcam_rep1	Library Construction	10000	Paired	Agilent TapeStation	DNA ScreenTape Analysis	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	ChIC-seq	GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_H3K27ac_Abcam_rep1_R1_raw.fastq.gz,GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_H3K27ac_Abcam_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol	11906907	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-618_GChIC-seq_raw_multiqc_GLChIC-seq_report.zip
C002_Tcell_R+194_10000_H3K27ac_Abcam_rep2	Library Construction	10000	Paired	Agilent TapeStation	DNA ScreenTape Analysis	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	ChIC-seq	GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_H3K27ac_Abcam_rep2_R1_raw.fastq.gz,GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_H3K27ac_Abcam_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol	6677703	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-618_GChIC-seq_raw_multiqc_GLChIC-seq_report.zip
C002_Tcell_R+194_10000_H3K27ac_Abcam_rep3	Library Construction	10000	Paired	Agilent TapeStation	DNA ScreenTape Analysis	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	ChIC-seq	GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_H3K27ac_Abcam_rep3_R1_raw.fastq.gz,GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_H3K27ac_Abcam_rep3_R2_raw.fastq.gz	GeneLab raw data processing protocol	8681249	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-618_GChIC-seq_raw_multiqc_GLChIC-seq_report.zip
C002_Tcell_R+194_10000_H3K27ac_ActiveMotif_rep1	Library Construction	10000	Paired	Agilent TapeStation	DNA ScreenTape Analysis	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	ChIC-seq	GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_H3K27ac_ActiveMotif_rep1_R1_raw.fastq.gz,GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_H3K27ac_ActiveMotif_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol	8544568	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-618_GChIC-seq_raw_multiqc_GLChIC-seq_report.zip
C002_Tcell_R+194_10000_H3K27ac_ActiveMotif_rep2	Library Construction	10000	Paired	Agilent TapeStation	DNA ScreenTape Analysis	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	ChIC-seq	GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_H3K27ac_ActiveMotif_rep2_R1_raw.fastq.gz,GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_H3K27ac_ActiveMotif_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol	23858853	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-618_GChIC-seq_raw_multiqc_GLChIC-seq_report.zip
C002_Tcell_R+194_10000_H3K27ac_ActiveMotif_rep3	Library Construction	10000	Paired	Agilent TapeStation	DNA ScreenTape Analysis	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	ChIC-seq	GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_H3K27ac_ActiveMotif_rep3_R1_raw.fastq.gz,GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_H3K27ac_ActiveMotif_rep3_R2_raw.fastq.gz	GeneLab raw data processing protocol	23888319	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-618_GChIC-seq_raw_multiqc_GLChIC-seq_report.zip
C002_Tcell_R+194_10000_H3K4me1_EpiCypher_rep1	Library Construction	10000	Paired	Agilent TapeStation	DNA ScreenTape Analysis	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	ChIC-seq	GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_H3K4me1_EpiCypher_rep1_R1_raw.fastq.gz,GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_H3K4me1_EpiCypher_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol	12744426	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-618_GChIC-seq_raw_multiqc_GLChIC-seq_report.zip
C002_Tcell_R+194_10000_H3K4me1_EpiCypher_rep2	Library Construction	10000	Paired	Agilent TapeStation	DNA ScreenTape Analysis	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	ChIC-seq	GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_H3K4me1_EpiCypher_rep2_R1_raw.fastq.gz,GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_H3K4me1_EpiCypher_rep2_R2_raw.fastq.gz	GeneLab raw data processing protocol	4295889	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-618_GChIC-seq_raw_multiqc_GLChIC-seq_report.zip
C002_Tcell_R+194_10000_H3K4me1_EpiCypher_rep3	Library Construction	10000	Paired	Agilent TapeStation	DNA ScreenTape Analysis	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	ChIC-seq	GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_H3K4me1_EpiCypher_rep3_R1_raw.fastq.gz,GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_H3K4me1_EpiCypher_rep3_R2_raw.fastq.gz	GeneLab raw data processing protocol	16754183	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-618_GChIC-seq_raw_multiqc_GLChIC-seq_report.zip
C002_Tcell_R+194_10000_H3K4me1_ActiveMotif_rep1	Library Construction	10000	Paired	Agilent TapeStation	DNA ScreenTape Analysis	Nucleic Acid Sequencing	Illumina NovaSeq 6000	151	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	bcl2fastq	ChIC-seq	GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_H3K4me1_ActiveMotif_rep1_R1_raw.fastq.gz,GLDS-618_ChIC-seq_Tcell_CutNRun_I4_C002_R+194_10K_H3K4me1_ActiveMotif_rep1_R2_raw.fastq.gz	GeneLab raw data processing protocol	5511639	read	SO	http://purl.obolibrary.org/obo/SO_0000150	GLDS-618_GChIC-seq_raw_multiqc_GLChIC-seq_report.zip
