Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Factor Value[Treatment]	Term Source REF	Term Accession Number	Factor Value[Relative Humidity]	Unit	Term Source REF	Term Accession Number	Characteristics[Material type]	Protocol REF	Parameter Value[time]	Unit	Term Source REF	Term Accession Number	Parameter Value[Time-of-wetness]	Unit	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number
F_B1-100-24HR-D21	F_B1-100-24HR-D21	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Varying Relative Humidity			100	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Dust	sample collection	21	day	UO	http://purl.obolibrary.org/obo/UO_0000033	24	Hour per Day	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C176380	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
F_B2-85-24HR-D14	F_B2-85-24HR-D14	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Varying Relative Humidity			85	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Dust	sample collection	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	24	Hour per Day	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C176380	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
F_B3-85-6HR-D5	F_B3-85-6HR-D5	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Varying Relative Humidity			85	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Dust	sample collection	5	day	UO	http://purl.obolibrary.org/obo/UO_0000033	6	Hour per Day	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C176380	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
F_B4-100-18HR-D10	F_B4-100-18HR-D10	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Varying Relative Humidity			100	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Dust	sample collection	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	18	Hour per Day	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C176380	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
F_B1-50-24HR-D5	F_B1-50-24HR-D5	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Varying Relative Humidity			50	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Dust	sample collection	5	day	UO	http://purl.obolibrary.org/obo/UO_0000033	24	Hour per Day	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C176380	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
F_B2-50-24HR-D5	F_B2-50-24HR-D5	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Varying Relative Humidity			50	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Dust	sample collection	5	day	UO	http://purl.obolibrary.org/obo/UO_0000033	24	Hour per Day	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C176380	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
F_B3-50-24HR-D5	F_B3-50-24HR-D5	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Varying Relative Humidity			50	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Dust	sample collection	5	day	UO	http://purl.obolibrary.org/obo/UO_0000033	24	Hour per Day	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C176380	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
F_B4-50-24HR-D5	F_B4-50-24HR-D5	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Varying Relative Humidity			50	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Dust	sample collection	5	day	UO	http://purl.obolibrary.org/obo/UO_0000033	24	Hour per Day	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C176380	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
F_B1-85-24HR-D5	F_B1-85-24HR-D5	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Varying Relative Humidity			85	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Dust	sample collection	5	day	UO	http://purl.obolibrary.org/obo/UO_0000033	24	Hour per Day	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C176380	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
F_B3-85-24HR-D10	F_B3-85-24HR-D10	Microbiota	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/13613	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Varying Relative Humidity			85	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Dust	sample collection	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	24	Hour per Day	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C176380	-20	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
