Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Genotype]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Characteristics[Animal Source]	Term Source REF	Term Accession Number	Characteristics[sex]	Term Source REF	Term Accession Number	Characteristics[duration]	Unit	Term Source REF	Term Accession Number	Characteristics[Age at Launch]	Unit	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[habitat]	Term Source REF	Term Accession Number	Parameter Value[light cycle]	Term Source REF	Term Accession Number	Parameter Value[Diet]	Term Source REF	Term Accession Number	Parameter Value[Euthanasia Method]	Term Source REF	Term Accession Number	Parameter Value[Carcass Weight]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Tissue Weight]	Unit	Term Source REF	Term Accession Number	Parameter Value[Age at Euthanasia]	Unit	Term Source REF	Term Accession Number
M30	M30QUL2_Trial1_1	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Quadriceps femoris	FMA	http://purl.org/sig/ont/fma/fma22428	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	Rodent Habitat	OSD	https://osdr.nasa.gov/	12 h light/dark cycle	OSD	https://osdr.nasa.gov/	Nutrient Upgraded Rodent Food Bar (NuRFB)	OSD	https://osdr.nasa.gov/	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	20.66	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	0.2551	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	21	week	UO	http://purl.obolibrary.org/obo/UO_0000034
M30	M30QUL2_Trial1_2	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Quadriceps femoris	FMA	http://purl.org/sig/ont/fma/fma22428	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	Rodent Habitat	OSD	https://osdr.nasa.gov/	12 h light/dark cycle	OSD	https://osdr.nasa.gov/	Nutrient Upgraded Rodent Food Bar (NuRFB)	OSD	https://osdr.nasa.gov/	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	20.66	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	0.2551	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	21	week	UO	http://purl.obolibrary.org/obo/UO_0000034
M30	M30QUL2_Trial1_3	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Quadriceps femoris	FMA	http://purl.org/sig/ont/fma/fma22428	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	Rodent Habitat	OSD	https://osdr.nasa.gov/	12 h light/dark cycle	OSD	https://osdr.nasa.gov/	Nutrient Upgraded Rodent Food Bar (NuRFB)	OSD	https://osdr.nasa.gov/	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	20.66	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	0.2551	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	21	week	UO	http://purl.obolibrary.org/obo/UO_0000034
M30	M30QUL1_Trial2_1	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Quadriceps femoris	FMA	http://purl.org/sig/ont/fma/fma22428	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	Rodent Habitat	OSD	https://osdr.nasa.gov/	12 h light/dark cycle	OSD	https://osdr.nasa.gov/	Nutrient Upgraded Rodent Food Bar (NuRFB)	OSD	https://osdr.nasa.gov/	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	20.66	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	0.2551	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	21	week	UO	http://purl.obolibrary.org/obo/UO_0000034
M30	M30QUL1_Trial2_2	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Quadriceps femoris	FMA	http://purl.org/sig/ont/fma/fma22428	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	Rodent Habitat	OSD	https://osdr.nasa.gov/	12 h light/dark cycle	OSD	https://osdr.nasa.gov/	Nutrient Upgraded Rodent Food Bar (NuRFB)	OSD	https://osdr.nasa.gov/	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	20.66	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	0.2551	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	21	week	UO	http://purl.obolibrary.org/obo/UO_0000034
M30	M30QUL1_Trial2_3	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Quadriceps femoris	FMA	http://purl.org/sig/ont/fma/fma22428	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	Rodent Habitat	OSD	https://osdr.nasa.gov/	12 h light/dark cycle	OSD	https://osdr.nasa.gov/	Nutrient Upgraded Rodent Food Bar (NuRFB)	OSD	https://osdr.nasa.gov/	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	20.66	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	0.2551	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	21	week	UO	http://purl.obolibrary.org/obo/UO_0000034
M30	M30QUL1_Trial2_4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Quadriceps femoris	FMA	http://purl.org/sig/ont/fma/fma22428	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	Rodent Habitat	OSD	https://osdr.nasa.gov/	12 h light/dark cycle	OSD	https://osdr.nasa.gov/	Nutrient Upgraded Rodent Food Bar (NuRFB)	OSD	https://osdr.nasa.gov/	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	20.66	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	0.2551	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	21	week	UO	http://purl.obolibrary.org/obo/UO_0000034
M30	M30QUL1_Trial2_5	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Quadriceps femoris	FMA	http://purl.org/sig/ont/fma/fma22428	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Animal Husbandry	Rodent Habitat	OSD	https://osdr.nasa.gov/	12 h light/dark cycle	OSD	https://osdr.nasa.gov/	Nutrient Upgraded Rodent Food Bar (NuRFB)	OSD	https://osdr.nasa.gov/	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	20.66	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	0.2551	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	21	week	UO	http://purl.obolibrary.org/obo/UO_0000034
M39	M39QUL1_Trial2_1	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Quadriceps femoris	FMA	http://purl.org/sig/ont/fma/fma22428	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Not Applicable				16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Ground Control			Animal Husbandry	Rodent Habitat	OSD	https://osdr.nasa.gov/	12 h light/dark cycle	OSD	https://osdr.nasa.gov/	Nutrient Upgraded Rodent Food Bar (NuRFB)	OSD	https://osdr.nasa.gov/	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	21.94	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	0.3038	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	22	week	UO	http://purl.obolibrary.org/obo/UO_0000034
M39	M39QUL1_Trial2_2	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Quadriceps femoris	FMA	http://purl.org/sig/ont/fma/fma22428	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	Not Applicable				16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Ground Control			Animal Husbandry	Rodent Habitat	OSD	https://osdr.nasa.gov/	12 h light/dark cycle	OSD	https://osdr.nasa.gov/	Nutrient Upgraded Rodent Food Bar (NuRFB)	OSD	https://osdr.nasa.gov/	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	21.94	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	0.3038	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	22	week	UO	http://purl.obolibrary.org/obo/UO_0000034
