Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Genotype]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Characteristics[Animal Source]	Term Source REF	Term Accession Number	Characteristics[Sex]	Term Source REF	Term Accession Number	Characteristics[Age At Launch]	Unit	Term Source REF	Term Accession Number	Characteristics[duration]	Unit	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Comment[Experimental Trial]	Protocol REF	Parameter Value[habitat]	Parameter Value[light cycle]	Parameter Value[Diet]	Term Source REF	Term Accession Number	Parameter Value[Euthanasia Method]	Term Source REF	Term Accession Number	Parameter Value[Carcass Weight]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Tissue Weight]	Unit	Term Source REF	Term Accession Number	Parameter Value[Age at Euthanasia]	Unit	Term Source REF	Term Accession Number
M29	M29GTL2_Trial4_1	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Gastrocnemius – left	OSD	https://osdr.nasa.gov/	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	4	Animal Husbandry	Rodent Habitat	12 h light/dark cycle	Nutrient Upgraded Rodent Food Bar (NuRFB)	OSD	https://osdr.nasa.gov/	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	20.25	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	0.1783	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	21	week	UO	http://purl.obolibrary.org/obo/UO_0000034
M29	M29GTL2_Trial4_2	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Gastrocnemius – left	OSD	https://osdr.nasa.gov/	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	4	Animal Husbandry	Rodent Habitat	12 h light/dark cycle	Nutrient Upgraded Rodent Food Bar (NuRFB)	OSD	https://osdr.nasa.gov/	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	20.25	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	0.1783	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	21	week	UO	http://purl.obolibrary.org/obo/UO_0000034
M29	M29GTL2_Trial4_3	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Gastrocnemius – left	OSD	https://osdr.nasa.gov/	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	4	Animal Husbandry	Rodent Habitat	12 h light/dark cycle	Nutrient Upgraded Rodent Food Bar (NuRFB)	OSD	https://osdr.nasa.gov/	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	20.25	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	0.1783	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	21	week	UO	http://purl.obolibrary.org/obo/UO_0000034
M29	M29GTL2_Trial4_4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Gastrocnemius – left	OSD	https://osdr.nasa.gov/	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	4	Animal Husbandry	Rodent Habitat	12 h light/dark cycle	Nutrient Upgraded Rodent Food Bar (NuRFB)	OSD	https://osdr.nasa.gov/	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	20.25	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	0.1783	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	21	week	UO	http://purl.obolibrary.org/obo/UO_0000034
M29	M29GTL2_Trial4_5	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Gastrocnemius – left	OSD	https://osdr.nasa.gov/	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	4	Animal Husbandry	Rodent Habitat	12 h light/dark cycle	Nutrient Upgraded Rodent Food Bar (NuRFB)	OSD	https://osdr.nasa.gov/	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	20.25	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	0.1783	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	21	week	UO	http://purl.obolibrary.org/obo/UO_0000034
M40	M40GTL1_Trial4_1	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Gastrocnemius – left	OSD	https://osdr.nasa.gov/	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Ground Control	OSD	https://osdr.nasa.gov/	4	Animal Husbandry	Rodent Habitat	12 h light/dark cycle	Nutrient Upgraded Rodent Food Bar (NuRFB)	OSD	https://osdr.nasa.gov/	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	22.65	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	0.2114	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	21	week	UO	http://purl.obolibrary.org/obo/UO_0000034
M40	M40GTL1_Trial4_2	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Gastrocnemius – left	OSD	https://osdr.nasa.gov/	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Ground Control	OSD	https://osdr.nasa.gov/	4	Animal Husbandry	Rodent Habitat	12 h light/dark cycle	Nutrient Upgraded Rodent Food Bar (NuRFB)	OSD	https://osdr.nasa.gov/	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	22.65	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	0.2114	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	21	week	UO	http://purl.obolibrary.org/obo/UO_0000034
M40	M40GTL1_Trial4_3	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Gastrocnemius – left	OSD	https://osdr.nasa.gov/	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Ground Control	OSD	https://osdr.nasa.gov/	4	Animal Husbandry	Rodent Habitat	12 h light/dark cycle	Nutrient Upgraded Rodent Food Bar (NuRFB)	OSD	https://osdr.nasa.gov/	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	22.65	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	0.2114	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	21	week	UO	http://purl.obolibrary.org/obo/UO_0000034
M40	M40GTL1_Trial4_4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Gastrocnemius – left	OSD	https://osdr.nasa.gov/	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Ground Control	OSD	https://osdr.nasa.gov/	4	Animal Husbandry	Rodent Habitat	12 h light/dark cycle	Nutrient Upgraded Rodent Food Bar (NuRFB)	OSD	https://osdr.nasa.gov/	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	22.65	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	0.2114	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	21	week	UO	http://purl.obolibrary.org/obo/UO_0000034
M40	M40GTL1_Trial4_5	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Gastrocnemius – left	OSD	https://osdr.nasa.gov/	Jackson Laboratory	OSD	https://osdr.nasa.gov/	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	16	week	UO	http://purl.obolibrary.org/obo/UO_0000034	37	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Ground Control	OSD	https://osdr.nasa.gov/	4	Animal Husbandry	Rodent Habitat	12 h light/dark cycle	Nutrient Upgraded Rodent Food Bar (NuRFB)	OSD	https://osdr.nasa.gov/	Euthasol	RXNORM	http://purl.bioontology.org/ontology/RXNORM/1100450	22.65	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	sample collection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	0.2114	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	21	week	UO	http://purl.obolibrary.org/obo/UO_0000034
