Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Animal Source]	Characteristics[Genotype]	Term Source REF	Term Accession Number	Characteristics[Age at irradiation]	Unit	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Factor Value[Sex]	Term Source REF	Term Accession Number	Factor Value[Ionizing Radiation]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[light cycle]	Term Source REF	Term Accession Number	Parameter Value[Housing Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[particle charge]	Term Source REF	Term Accession Number	Parameter Value[ionizing radiation energy]	Parameter Value[linear energy transfer]	Parameter Value[absorbed radiation dose rate]	Parameter Value[exposure duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose]	Unit	Term Source REF	Term Accession Number	Parameter Value[ionizing radiation categorized by source]	Term Source REF	Term Accession Number	Parameter Value[ionizing radiation device or source]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Euthanasia Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number
10	10	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	26.0	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Blood	MESH	http://purl.bioontology.org/ontology/MESH/D001769	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	mixed radiation field	RBO	http://purl.obolibrary.org/obo/RBO_00000015	irradiation protocol	12 h light/dark cycle	OSD	https://osdr.nasa.gov/	23±2	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	NSRL Simplified Galactic Cosmic Ray Simulation	RBO	http://purl.obolibrary.org/obo/RBO_00000054	(protons at 250 and 1000 MeV, 28Si at 600 MeV/n, 4 He at 250 MeV/n, 16O at 350 MeV/n, and 56Fe at 600 MeV/n	see protocol	see protocol	36.3	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	50	centigray			particle accelerator	RBO	http://purl.obolibrary.org/obo/RBO_00000121	NASA Space Radiation Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000030	sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
11	11	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	26.0	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Blood	MESH	http://purl.bioontology.org/ontology/MESH/D001769	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	mixed radiation field	RBO	http://purl.obolibrary.org/obo/RBO_00000015	irradiation protocol	12 h light/dark cycle	OSD	https://osdr.nasa.gov/	23±2	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	NSRL Simplified Galactic Cosmic Ray Simulation	RBO	http://purl.obolibrary.org/obo/RBO_00000054	(protons at 250 and 1000 MeV, 28Si at 600 MeV/n, 4 He at 250 MeV/n, 16O at 350 MeV/n, and 56Fe at 600 MeV/n	see protocol	see protocol	42.5	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	50	centigray			particle accelerator	RBO	http://purl.obolibrary.org/obo/RBO_00000121	NASA Space Radiation Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000030	sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
12	12	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	26.0	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Blood	MESH	http://purl.bioontology.org/ontology/MESH/D001769	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	mixed radiation field	RBO	http://purl.obolibrary.org/obo/RBO_00000015	irradiation protocol	12 h light/dark cycle	OSD	https://osdr.nasa.gov/	23±2	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	NSRL Simplified Galactic Cosmic Ray Simulation	RBO	http://purl.obolibrary.org/obo/RBO_00000054	(protons at 250 and 1000 MeV, 28Si at 600 MeV/n, 4 He at 250 MeV/n, 16O at 350 MeV/n, and 56Fe at 600 MeV/n	see protocol	see protocol	42.5	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	50	centigray			particle accelerator	RBO	http://purl.obolibrary.org/obo/RBO_00000121	NASA Space Radiation Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000030	sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
15	15	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	26.0	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Blood	MESH	http://purl.bioontology.org/ontology/MESH/D001769	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	mixed radiation field	RBO	http://purl.obolibrary.org/obo/RBO_00000015	irradiation protocol	12 h light/dark cycle	OSD	https://osdr.nasa.gov/	23±2	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	NSRL Simplified Galactic Cosmic Ray Simulation	RBO	http://purl.obolibrary.org/obo/RBO_00000054	(protons at 250 and 1000 MeV, 28Si at 600 MeV/n, 4 He at 250 MeV/n, 16O at 350 MeV/n, and 56Fe at 600 MeV/n	see protocol	see protocol	37.7	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	50	centigray			particle accelerator	RBO	http://purl.obolibrary.org/obo/RBO_00000121	NASA Space Radiation Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000030	sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
16	16	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	26.0	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Blood	MESH	http://purl.bioontology.org/ontology/MESH/D001769	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	mixed radiation field	RBO	http://purl.obolibrary.org/obo/RBO_00000015	irradiation protocol	12 h light/dark cycle	OSD	https://osdr.nasa.gov/	23±2	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	NSRL Simplified Galactic Cosmic Ray Simulation	RBO	http://purl.obolibrary.org/obo/RBO_00000054	(protons at 250 and 1000 MeV, 28Si at 600 MeV/n, 4 He at 250 MeV/n, 16O at 350 MeV/n, and 56Fe at 600 MeV/n	see protocol	see protocol	37.4	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	50	centigray			particle accelerator	RBO	http://purl.obolibrary.org/obo/RBO_00000121	NASA Space Radiation Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000030	sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
17	17	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	26.0	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Blood	MESH	http://purl.bioontology.org/ontology/MESH/D001769	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	mixed radiation field	RBO	http://purl.obolibrary.org/obo/RBO_00000015	irradiation protocol	12 h light/dark cycle	OSD	https://osdr.nasa.gov/	23±2	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	NSRL Simplified Galactic Cosmic Ray Simulation	RBO	http://purl.obolibrary.org/obo/RBO_00000054	(protons at 250 and 1000 MeV, 28Si at 600 MeV/n, 4 He at 250 MeV/n, 16O at 350 MeV/n, and 56Fe at 600 MeV/n	see protocol	see protocol	37.4	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	50	centigray			particle accelerator	RBO	http://purl.obolibrary.org/obo/RBO_00000121	NASA Space Radiation Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000030	sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
18	18	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	26.0	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Blood	MESH	http://purl.bioontology.org/ontology/MESH/D001769	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	sham-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005032	irradiation protocol	12 h light/dark cycle	OSD	https://osdr.nasa.gov/	23±2	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	Not Applicable	Not Applicable		Not Applicable	OSD	https://osdr.nasa.gov/	0	centigray			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
19	19	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	26.0	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Blood	MESH	http://purl.bioontology.org/ontology/MESH/D001769	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	sham-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005032	irradiation protocol	12 h light/dark cycle	OSD	https://osdr.nasa.gov/	23±2	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	Not Applicable	Not Applicable		Not Applicable	OSD	https://osdr.nasa.gov/	0	centigray			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
20	20	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	26.0	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Blood	MESH	http://purl.bioontology.org/ontology/MESH/D001769	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	sham-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005032	irradiation protocol	12 h light/dark cycle	OSD	https://osdr.nasa.gov/	23±2	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	Not Applicable	Not Applicable		Not Applicable	OSD	https://osdr.nasa.gov/	0	centigray			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
22	22	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	26.0	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Blood	MESH	http://purl.bioontology.org/ontology/MESH/D001769	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	sham-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005032	irradiation protocol	12 h light/dark cycle	OSD	https://osdr.nasa.gov/	23±2	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	Not Applicable	Not Applicable		Not Applicable	OSD	https://osdr.nasa.gov/	0	centigray			Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
