Sample Name	Protocol REF	Extract Name	Parameter Value[QA Assay]	Parameter Value[QA Score]	Unit	Term Source REF	Term Accession Number	Parameter Value[QA Instrument]	Parameter Value[gDNA fragment size]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Library Selection]	Parameter Value[Library Layout]	Parameter Value[Library QA Instrument]	Parameter Value[Library QA Assay]	Parameter Value[Fragment Size]	Unit	Term Source REF	Term Accession Number	Parameter Value[Library Batch Number]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Base Caller]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[Read Depth]	Unit	Term Source REF	Term Accession Number	Parameter Value[Human Reads Removed]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Host Contamination]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[MultiQC File Names]
RRRM1_FCS_BSL_ISS-T_OLD_BI1	Nucleic Acid Extraction	RRRM1_FCS_BSL_ISS-T_OLD_BI1	Agilent gDNA ScreenTape Assay	7.3	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	11523	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	632	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-065	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_OLD_BI1_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_OLD_BI1_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	9999022	read	SO	http://purl.obolibrary.org/obo/SO_0000150	22.93	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	73.87	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_BSL_ISS-T_OLD_BI2	Nucleic Acid Extraction	RRRM1_FCS_BSL_ISS-T_OLD_BI2	Agilent gDNA ScreenTape Assay	6.6	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	15456	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	588	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-065	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_OLD_BI2_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_OLD_BI2_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	11262163	read	SO	http://purl.obolibrary.org/obo/SO_0000150	11.32	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	27.17	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_BSL_ISS-T_OLD_BI3	Nucleic Acid Extraction	RRRM1_FCS_BSL_ISS-T_OLD_BI3	Agilent gDNA ScreenTape Assay	7.3	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	14060	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	631	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-065	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_OLD_BI3_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_OLD_BI3_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	8973225	read	SO	http://purl.obolibrary.org/obo/SO_0000150	23.78	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	80.32	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_BSL_ISS-T_OLD_BI4	Nucleic Acid Extraction	RRRM1_FCS_BSL_ISS-T_OLD_BI4	Agilent gDNA ScreenTape Assay	7.1	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	13466	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	719	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-066	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_OLD_BI4_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_OLD_BI4_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	14936956	read	SO	http://purl.obolibrary.org/obo/SO_0000150	22.91	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	76.49	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_BSL_ISS-T_OLD_BI5	Nucleic Acid Extraction	RRRM1_FCS_BSL_ISS-T_OLD_BI5	Agilent gDNA ScreenTape Assay	6.4	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	9994	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	708	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-066	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_OLD_BI5_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_OLD_BI5_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	15427475	read	SO	http://purl.obolibrary.org/obo/SO_0000150	15.46	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	47.02	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_BSL_ISS-T_OLD_BI6	Nucleic Acid Extraction	RRRM1_FCS_BSL_ISS-T_OLD_BI6	Agilent gDNA ScreenTape Assay	6.9	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	12024	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	724	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-066	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_OLD_BI6_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_OLD_BI6_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	15200511	read	SO	http://purl.obolibrary.org/obo/SO_0000150	21.29	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	68.85	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_BSL_ISS-T_OLD_BI7	Nucleic Acid Extraction	RRRM1_FCS_BSL_ISS-T_OLD_BI7	Agilent gDNA ScreenTape Assay	7.5	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	14792	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	741	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-066	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_OLD_BI7_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_OLD_BI7_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	10533381	read	SO	http://purl.obolibrary.org/obo/SO_0000150	25.56	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	81.06	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_BSL_ISS-T_OLD_BI8	Nucleic Acid Extraction	RRRM1_FCS_BSL_ISS-T_OLD_BI8	Agilent gDNA ScreenTape Assay	7	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	11679	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	743	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-067	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_OLD_BI8_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_OLD_BI8_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	12035597	read	SO	http://purl.obolibrary.org/obo/SO_0000150	13.53	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	42.12	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_BSL_ISS-T_OLD_BI9	Nucleic Acid Extraction	RRRM1_FCS_BSL_ISS-T_OLD_BI9	Agilent gDNA ScreenTape Assay	6.8	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	11710	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	727	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-067	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_OLD_BI9_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_OLD_BI9_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	16729951	read	SO	http://purl.obolibrary.org/obo/SO_0000150	22.67	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	73.85	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
RRRM1_FCS_BSL_ISS-T_OLD_BI10	Nucleic Acid Extraction	RRRM1_FCS_BSL_ISS-T_OLD_BI10	Agilent gDNA ScreenTape Assay	7.8	DIN	OSD	https://osdr.nasa.gov/	Agilent 4200 Tapestation	14301	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	Library Construction	DNA	PAIRED	Agilent 4200 Tapestation	D1000 ScreenTape	648	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	LIB-BATCH-065	Nucleic Acid Sequencing	Illumina NovaSeq 6000	bcl2fastq	251	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	metagenomics	GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_OLD_BI10_R1_HRremoved_raw.fastq.gz, GLDS-659_metagenomics_RRRM1_FCS_BSL_ISS-T_OLD_BI10_R2_HRremoved_raw.fastq.gz	human read contaminant filtering	10771419	read	SO	http://purl.obolibrary.org/obo/SO_0000150	25.85	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	host read estimation protocol	88.54	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	GeneLab raw data processing protocol	GLDS-659_GMetagenomics_raw_multiqc_GLmetagenomics_report.zip
