Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Host Organism]	Term Source REF	Term Accession Number	Characteristics[Host Strain]	Characteristics[Animal Source]	Characteristics[Genotype]	Term Source REF	Term Accession Number	Characteristics[Sex]	Term Source REF	Term Accession Number	Factor Value[Age]	Unit	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Factor Value[Duration]	Unit	Term Source REF	Term Accession Number	Factor Value[Euthanasia Location]	Factor Value[Dissection Condition]	Characteristics[Material Type]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Diet]	Parameter Value[Feeding Schedule]	Parameter Value[light cycle]	Parameter Value[habitat]	Parameter Value[Enrichment material]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Euthanasia Method]	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Comment[RFID]	Comment[Time between landing to euthanasia (day)]	Parameter Value[Carcass Preservation Method]	Comment[ALSDA Biospecimen ID]
BL_ISS_01	RRRM1_FCS_BSL_ISS-T_OLD_BI1	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	32	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Basal Control	OSD	https://osdr.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth	Carcass	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E29716408	Not Applicable	-80C freezer	115763
BL_ISS_02	RRRM1_FCS_BSL_ISS-T_OLD_BI2	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	32	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Basal Control	OSD	https://osdr.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth	Carcass	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E2B193B12	Not Applicable	-80C freezer	115762
BL_ISS_03	RRRM1_FCS_BSL_ISS-T_OLD_BI3	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	32	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Basal Control	OSD	https://osdr.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth	Carcass	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E27156A3B	Not Applicable	-80C freezer	115761
BL_ISS_04	RRRM1_FCS_BSL_ISS-T_OLD_BI4	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	32	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Basal Control	OSD	https://osdr.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth	Carcass	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E28432F58	Not Applicable	-80C freezer	115760
BL_ISS_05	RRRM1_FCS_BSL_ISS-T_OLD_BI5	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	32	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Basal Control	OSD	https://osdr.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth	Carcass	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E27346A38	Not Applicable	-80C freezer	115759
BL_ISS_06	RRRM1_FCS_BSL_ISS-T_OLD_BI6	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	32	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Basal Control	OSD	https://osdr.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth	Carcass	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E2718341B	Not Applicable	-80C freezer	115758
BL_ISS_07	RRRM1_FCS_BSL_ISS-T_OLD_BI7	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	32	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Basal Control	OSD	https://osdr.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth	Carcass	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E29544C42	Not Applicable	-80C freezer	115757
BL_ISS_08	RRRM1_FCS_BSL_ISS-T_OLD_BI8	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	32	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Basal Control	OSD	https://osdr.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth	Carcass	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E28057B4F	Not Applicable	-80C freezer	115756
BL_ISS_09	RRRM1_FCS_BSL_ISS-T_OLD_BI9	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	32	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Basal Control	OSD	https://osdr.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth	Carcass	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E296D5676	Not Applicable	-80C freezer	115755
BL_ISS_10	RRRM1_FCS_BSL_ISS-T_OLD_BI10	Microbiota	MESH	http://purl.bioontology.org/ontology/MESH/D064307	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/cAnNTac	Taconic Biosciences	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Female	MESH	http://purl.bioontology.org/ontology/MESH/D005260	32	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Basal Control	OSD	https://osdr.nasa.gov/	0	day	UO	http://purl.obolibrary.org/obo/UO_0000033	On Earth	Carcass	Feces	MESH	http://purl.bioontology.org/ontology/MESH/D005243	Animal Husbandry	Nutrient Upgraded Rodent Food Bar (NuRFB)	ad libitum	12 h light/dark cycle	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	Bilateral thoracotomy with sedation, Cardiac puncture with sedation, Ketamine/xylazine injection	Liquid Nitrogen	NCIT	http://purl.obolibrary.org/obo/NCIT_C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	6E2B582F03	Not Applicable	-80C freezer	115754
