Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
RR23_R-EDL_FLT_F1_techrep1_R1_raw	76.56600235277776	45.0	151.0	9.090909090909092	92435321.0
RR23_R-EDL_FLT_F1_techrep1_R2_raw	77.64168807000095	45.0	151.0	27.27272727272727	92435321.0
RR23_R-EDL_FLT_F1_techrep2_R1_raw	77.20634939632541	44.0	151.0	9.090909090909092	114136037.0
RR23_R-EDL_FLT_F1_techrep2_R2_raw	77.67447616998835	44.0	151.0	27.27272727272727	114136037.0
RR23_R-EDL_FLT_F2_R1_raw	76.4657821773415	44.0	151.0	18.181818181818183	94177785.0
RR23_R-EDL_FLT_F2_R2_raw	76.70294920323687	44.0	151.0	27.27272727272727	94177785.0
RR23_R-EDL_FLT_F3_R1_raw	77.35505940447155	44.0	151.0	9.090909090909092	101168454.0
RR23_R-EDL_FLT_F3_R2_raw	77.65383489026445	44.0	151.0	27.27272727272727	101168454.0
RR23_R-EDL_FLT_F4_R1_raw	78.14912119462882	44.0	151.0	9.090909090909092	94696022.0
RR23_R-EDL_FLT_F4_R2_raw	78.30377454088803	44.0	151.0	27.27272727272727	94696022.0
RR23_R-EDL_FLT_F5_R1_raw	79.41962802165949	44.0	151.0	18.181818181818183	99664082.0
RR23_R-EDL_FLT_F5_R2_raw	79.45952618181072	44.0	151.0	27.27272727272727	99664082.0
RR23_R-EDL_FLT_F6_R1_raw	75.54290878647146	44.0	151.0	18.181818181818183	84970334.0
RR23_R-EDL_FLT_F6_R2_raw	75.77347749534742	44.0	151.0	36.36363636363637	84970334.0
RR23_R-EDL_FLT_F7_R1_raw	77.6054619721747	45.0	151.0	18.181818181818183	100730339.0
RR23_R-EDL_FLT_F7_R2_raw	76.86835242344429	45.0	151.0	36.36363636363637	100730339.0
RR23_R-EDL_FLT_F8_R1_raw	78.54021590733313	45.0	151.0	18.181818181818183	101968913.0
RR23_R-EDL_FLT_F8_R2_raw	78.52904432689755	45.0	151.0	36.36363636363637	101968913.0
RR23_R-EDL_FLT_F9_R1_raw	77.83872952476263	45.0	151.0	9.090909090909092	98082584.0
RR23_R-EDL_FLT_F9_R2_raw	75.89956941151831	45.0	151.0	27.27272727272727	98082584.0
RR23_R-EDL_GC_G1_techrep1_R1_raw	77.25219210945603	45.0	151.0	18.181818181818183	95997670.0
RR23_R-EDL_GC_G1_techrep1_R2_raw	75.49471645446145	45.0	151.0	36.36363636363637	95997670.0
RR23_R-EDL_GC_G1_techrep2_R1_raw	75.69677470587919	45.0	151.0	18.181818181818183	75116211.0
RR23_R-EDL_GC_G1_techrep2_R2_raw	75.53526560737947	45.0	151.0	36.36363636363637	75116211.0
RR23_R-EDL_GC_G2_R1_raw	76.07171451654226	45.0	151.0	18.181818181818183	88793810.0
RR23_R-EDL_GC_G2_R2_raw	75.77516105750924	45.0	151.0	36.36363636363637	88793810.0
RR23_R-EDL_GC_G3_R1_raw	77.5678245361862	45.0	151.0	18.181818181818183	99413625.0
RR23_R-EDL_GC_G3_R2_raw	77.8650277078223	45.0	151.0	36.36363636363637	99413625.0
RR23_R-EDL_GC_G4_R1_raw	77.48839127840887	44.0	151.0	9.090909090909092	99327571.0
RR23_R-EDL_GC_G4_R2_raw	77.42861455312642	44.0	151.0	27.27272727272727	99327571.0
RR23_R-EDL_GC_G5_R1_raw	75.8749541190088	44.0	151.0	18.181818181818183	95373267.0
RR23_R-EDL_GC_G5_R2_raw	76.48491195740957	44.0	151.0	36.36363636363637	95373267.0
RR23_R-EDL_GC_G6_R1_raw	76.86888064780962	45.0	151.0	18.181818181818183	90677361.0
RR23_R-EDL_GC_G6_R2_raw	75.8418524526227	45.0	151.0	36.36363636363637	90677361.0
RR23_R-EDL_GC_G7_R1_raw	78.46416307024336	45.0	151.0	9.090909090909092	109495018.0
RR23_R-EDL_GC_G7_R2_raw	78.39617800616563	45.0	151.0	27.27272727272727	109495018.0
RR23_R-EDL_GC_G8_R1_raw	77.70542307145314	45.0	151.0	9.090909090909092	120555279.0
RR23_R-EDL_GC_G8_R2_raw	76.60723769242203	45.0	151.0	27.27272727272727	120555279.0
RR23_R-EDL_GC_G9_R1_raw	76.26761034548655	45.0	151.0	9.090909090909092	106644836.0
RR23_R-EDL_GC_G9_R2_raw	75.9751804813321	45.0	151.0	27.27272727272727	106644836.0
RR23_R-EDL_VIV_V1_techrep1_R1_raw	78.32978601862553	46.0	151.0	9.090909090909092	99775833.0
RR23_R-EDL_VIV_V1_techrep1_R2_raw	77.4186396130627	45.0	151.0	27.27272727272727	99775833.0
RR23_R-EDL_VIV_V1_techrep2_R1_raw	77.93317337795051	44.0	151.0	9.090909090909092	92184368.0
RR23_R-EDL_VIV_V1_techrep2_R2_raw	78.23936472871256	44.0	151.0	27.27272727272727	92184368.0
RR23_R-EDL_VIV_V2_R1_raw	77.86862643434893	45.0	151.0	18.181818181818183	105390005.0
RR23_R-EDL_VIV_V2_R2_raw	78.17808586306771	45.0	151.0	36.36363636363637	105390005.0
RR23_R-EDL_VIV_V3_R1_raw	76.7654963492376	44.0	151.0	9.090909090909092	102284047.0
RR23_R-EDL_VIV_V3_R2_raw	76.98160427245804	44.0	151.0	27.27272727272727	102284047.0
RR23_R-EDL_VIV_V4_R1_raw	78.02449874728978	45.0	151.0	9.090909090909092	107393870.0
RR23_R-EDL_VIV_V4_R2_raw	77.7381123197929	45.0	151.0	27.27272727272727	107393870.0
RR23_R-EDL_VIV_V5_R1_raw	76.91296548190877	45.0	151.0	9.090909090909092	109488221.0
RR23_R-EDL_VIV_V5_R2_raw	76.71710889712776	45.0	151.0	27.27272727272727	109488221.0
RR23_R-EDL_VIV_V6_R1_raw	78.18870576220927	45.0	151.0	9.090909090909092	98369521.0
RR23_R-EDL_VIV_V6_R2_raw	78.65048534598728	45.0	151.0	27.27272727272727	98369521.0
RR23_R-EDL_VIV_V7_R1_raw	77.76268419939277	46.0	151.0	18.181818181818183	98807631.0
RR23_R-EDL_VIV_V7_R2_raw	76.47331896612675	46.0	151.0	36.36363636363637	98807631.0
RR23_R-EDL_VIV_V8_R1_raw	77.69079106233282	45.0	151.0	18.181818181818183	105155249.0
RR23_R-EDL_VIV_V8_R2_raw	77.40547677168352	45.0	151.0	36.36363636363637	105155249.0
RR23_R-EDL_VIV_V9_R1_raw	78.58830623976561	46.0	151.0	9.090909090909092	109796700.0
RR23_R-EDL_VIV_V9_R2_raw	78.18040802063933	46.0	151.0	27.27272727272727	109796700.0
